Age;Workclass;Fnlwgt;Education;Education-num;Marital-status;Occupation;Relationship;Race;Sex;Capital-gain;Capital-loss;Hours-per-week;Native-country;Salary
30;Non-Government;189620;*;13;Single;Technical;*;*;*;0;0;40;*;*
46;Non-Government;295566;*;16;Single;Technical;*;*;*;25236;0;65;*;*
29;Non-Government;271328;*;13;Single;Technical;*;*;*;4650;0;40;*;*
26;Non-Government;112847;*;11;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;267034;*;7;Single;Technical;*;*;*;0;0;40;*;*
22;Non-Government;223515;*;13;Single;Technical;*;*;*;0;0;20;*;*
27;Non-Government;31757;*;11;Single;Technical;*;*;*;0;0;38;*;*
32;Non-Government;188557;*;9;Single;Technical;*;*;*;0;0;40;*;*
31;Non-Government;244147;*;9;Single;Technical;*;*;*;0;0;55;*;*
54;Non-Government;279129;*;10;Single;Technical;*;*;*;0;0;40;*;*
28;Non-Government;196690;*;11;Single;Technical;*;*;*;0;1669;42;*;*
18;Non-Government;231193;*;8;Single;Technical;*;*;*;0;0;30;*;*
25;Non-Government;316688;*;9;Single;Technical;*;*;*;0;0;40;*;*
46;Non-Government;90758;*;14;Single;Technical;*;*;*;0;0;35;*;*
43;Non-Government;154538;*;12;Single;Technical;*;*;*;0;0;40;*;*
41;Non-Government;254440;*;11;Single;Technical;*;*;*;0;0;60;*;*
31;Non-Government;171871;*;14;Single;Technical;*;*;*;0;0;46;*;*
29;Non-Government;154411;*;11;Single;Technical;*;*;*;0;0;40;*;*
39;Non-Government;680390;*;9;Single;Technical;*;*;*;0;0;24;*;*
41;Non-Government;180572;*;13;Single;Technical;*;*;*;0;0;50;*;*
43;Non-Government;102895;*;10;Single;Technical;*;*;*;0;0;40;*;*
31;Non-Government;118966;*;9;Single;Technical;*;*;*;0;0;18;*;*
61;Non-Government;99784;*;14;Single;Technical;*;*;*;0;0;40;*;*
26;Non-Government;96467;*;13;Single;Technical;*;*;*;0;0;40;*;*
34;Non-Government;188798;*;13;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;266855;*;13;Single;Technical;*;*;*;0;0;40;*;*
49;Non-Government;72393;*;5;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;177119;*;11;Single;Technical;*;*;*;2174;0;45;*;*
46;Non-Government;171550;*;9;Single;Technical;*;*;*;0;0;38;*;*
37;Non-Government;211154;*;10;Single;Technical;*;*;*;0;0;52;*;*
24;Non-Government;202570;*;13;Single;Technical;*;*;*;0;0;15;*;*
38;Non-Government;278924;*;10;Single;Technical;*;*;*;0;0;44;*;*
34;Non-Government;175878;*;10;Single;Technical;*;*;*;0;0;40;*;*
42;Non-Government;162003;*;9;Single;Technical;*;*;*;0;0;55;*;*
47;Non-Government;21906;*;14;Single;Technical;*;*;*;0;0;25;*;*
43;Non-Government;250802;*;10;Single;Technical;*;*;*;0;0;35;*;*
32;Non-Government;169240;*;9;Single;Technical;*;*;*;0;0;38;*;*
28;Non-Government;161538;*;13;Single;Technical;*;*;*;0;0;35;*;*
41;Non-Government;349221;*;9;Single;Technical;*;*;*;0;0;35;*;*
44;Non-Government;126701;*;9;Single;Technical;*;*;*;0;0;40;*;*
51;Non-Government;122159;*;10;Single;Technical;*;*;*;3325;0;40;*;*
45;Non-Government;89325;*;14;Single;Technical;*;*;*;0;0;45;*;*
66;Non-Government;271567;*;9;Single;Technical;*;*;*;0;0;40;*;*
51;Non-Government;220537;*;9;Single;Technical;*;*;*;0;0;40;*;*
22;Non-Government;122346;*;9;Single;Technical;*;*;*;0;0;40;*;*
41;Non-Government;198316;*;10;Single;Technical;*;*;*;0;0;50;*;*
23;Non-Government;129042;*;9;Single;Technical;*;*;*;0;0;40;*;*
23;Non-Government;137994;*;10;Single;Technical;*;*;*;0;0;40;*;*
24;Non-Government;34446;*;10;Single;Technical;*;*;*;0;0;37;*;*
28;Non-Government;187160;*;15;Single;Technical;*;*;*;0;0;55;*;*
38;Non-Government;193026;*;10;Single;Technical;*;*;*;0;0;40;*;*
41;Non-Government;302122;*;11;Single;Technical;*;*;*;0;0;40;*;*
36;Non-Government;117312;*;12;Single;Technical;*;*;*;0;0;60;*;*
19;Non-Government;36012;*;10;Single;Technical;*;*;*;0;0;20;*;*
43;Non-Government;173728;*;13;Single;Technical;*;*;*;0;0;40;*;*
38;Non-Government;412296;*;9;Single;Technical;*;*;*;0;0;28;*;*
31;Non-Government;196025;*;16;Single;Technical;*;*;*;0;0;60;*;*
34;Non-Government;107793;*;9;Single;Technical;*;*;*;0;0;40;*;*
22;Non-Government;361280;*;13;Single;Technical;*;*;*;0;0;20;*;*
43;Non-Government;182254;*;10;Single;Technical;*;*;*;0;0;40;*;*
31;Non-Government;51259;*;13;Single;Technical;*;*;*;0;0;47;*;*
30;Non-Government;347132;*;10;Single;Technical;*;*;*;0;0;40;*;*
18;Non-Government;240747;*;9;Single;Technical;*;*;*;0;0;40;*;*
37;Non-Government;166497;*;13;Single;Technical;*;*;*;0;0;35;*;*
31;Non-Government;32406;*;10;Single;Technical;*;*;*;0;0;20;*;*
35;Non-Government;33975;*;14;Single;Technical;*;*;*;0;0;45;*;*
22;Non-Government;153516;*;10;Single;Technical;*;*;*;0;0;35;*;*
25;Non-Government;323545;*;9;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;256956;*;11;Single;Technical;*;*;*;0;0;40;*;*
28;Non-Government;192932;*;13;Single;Technical;*;*;*;0;0;40;*;*
24;Non-Government;96279;*;9;Single;Technical;*;*;*;0;0;40;*;*
25;Non-Government;188488;*;9;Single;Technical;*;*;*;0;0;40;*;*
20;Non-Government;324469;*;10;Single;Technical;*;*;*;0;0;40;*;*
23;Non-Government;275244;*;9;Single;Technical;*;*;*;0;0;35;*;*
33;Non-Government;40681;*;10;Single;Technical;*;*;*;3674;0;16;*;*
39;Non-Government;174938;*;13;Single;Technical;*;*;*;0;0;40;*;*
71;Non-Government;269708;*;13;Single;Technical;*;*;*;2329;0;16;*;*
57;Non-Government;89392;*;14;Single;Technical;*;*;*;0;0;40;*;*
34;Non-Government;467108;*;10;Single;Technical;*;*;*;0;0;50;*;*
58;Non-Government;132606;*;3;Single;Technical;*;*;*;0;0;40;*;*
40;Non-Government;155190;*;6;Single;Technical;*;*;*;0;0;55;*;*
31;Non-Government;42900;*;13;Single;Technical;*;*;*;0;0;37;*;*
23;Non-Government;181820;*;10;Single;Technical;*;*;*;0;0;40;*;*
33;Non-Government;105974;*;9;Single;Technical;*;*;*;0;0;41;*;*
45;Non-Government;127303;*;10;Single;Technical;*;*;*;0;0;45;*;*
27;Non-Government;29904;*;13;Single;Technical;*;*;*;0;0;40;*;*
43;Non-Government;238287;*;6;Single;Technical;*;*;*;0;0;40;*;*
46;Non-Government;134727;*;7;Single;Technical;*;*;*;0;0;43;*;*
19;Non-Government;213644;*;9;Single;Technical;*;*;*;0;0;40;*;*
41;Non-Government;141327;*;14;Single;Technical;*;*;*;0;0;35;*;*
38;Non-Government;27997;*;11;Single;Technical;*;*;*;0;0;40;*;*
25;Non-Government;298225;*;9;Single;Technical;*;*;*;0;0;50;*;*
25;Non-Government;221757;*;9;Single;Technical;*;*;*;3325;0;45;*;*
46;Non-Government;161508;*;6;Single;Technical;*;*;*;0;0;40;*;*
30;Non-Government;177675;*;10;Single;Technical;*;*;*;0;0;40;*;*
40;Non-Government;100584;*;6;Single;Technical;*;*;*;0;0;40;*;*
25;Non-Government;98283;*;13;Single;Technical;*;*;*;0;0;40;*;*
43;Non-Government;35236;*;9;Single;Technical;*;*;*;0;0;40;*;*
26;Non-Government;256263;*;9;Single;Technical;*;*;*;0;0;25;*;*
49;Non-Government;50282;*;10;Single;Technical;*;*;*;3325;0;45;*;*
25;Non-Government;224943;*;10;Single;Technical;*;*;*;0;0;40;*;*
30;Non-Government;197058;*;12;Single;Technical;*;*;*;0;0;40;*;*
27;Non-Government;148069;*;6;Single;Technical;*;*;*;0;0;40;*;*
56;Non-Government;117148;*;4;Single;Technical;*;*;*;0;0;40;*;*
28;Non-Government;125442;*;9;Single;Technical;*;*;*;0;0;40;*;*
33;Non-Government;149184;*;9;Single;Technical;*;*;*;0;0;60;*;*
19;Non-Government;176570;*;7;Single;Technical;*;*;*;0;0;60;*;*
47;Non-Government;102318;*;9;Single;Technical;*;*;*;0;0;40;*;*
32;Non-Government;375833;*;7;Single;Technical;*;*;*;0;0;40;*;*
43;Non-Government;184378;*;13;Single;Technical;*;*;*;0;0;40;*;*
24;Non-Government;38455;*;10;Single;Technical;*;*;*;0;0;40;*;*
44;Non-Government;202565;*;9;Single;Technical;*;*;*;0;0;45;*;*
29;Non-Government;112031;*;9;Single;Technical;*;*;*;0;0;50;*;*
35;Non-Government;168817;*;9;Single;Technical;*;*;*;0;0;40;*;*
24;Non-Government;67222;*;13;Single;Technical;*;*;*;0;0;45;*;*
44;Non-Government;303521;*;10;Single;Technical;*;*;*;0;0;40;*;*
26;Non-Government;294493;*;13;Single;Technical;*;*;*;0;0;40;*;*
50;Non-Government;196963;*;4;Single;Technical;*;*;*;0;0;30;*;*
32;Non-Government;496743;*;13;Single;Technical;*;*;*;0;0;40;*;*
40;Non-Government;224910;*;9;Single;Technical;*;*;*;0;0;40;*;*
60;Non-Government;106850;*;6;Single;Technical;*;*;*;0;0;40;*;*
28;Non-Government;215873;*;6;Single;Technical;*;*;*;0;0;45;*;*
43;Non-Government;57322;*;12;Single;Technical;*;*;*;0;0;40;*;*
48;Non-Government;199739;*;9;Single;Technical;*;*;*;0;0;40;*;*
31;Non-Government;332379;*;4;Single;Technical;*;*;*;0;0;40;*;*
22;Non-Government;202920;*;9;Single;Technical;*;*;*;99999;0;40;*;*
56;Non-Government;261232;*;9;Single;Technical;*;*;*;0;0;40;*;*
23;Non-Government;228243;*;10;Single;Technical;*;*;*;0;0;44;*;*
34;Non-Government;238246;*;13;Single;Technical;*;*;*;0;0;40;*;*
28;Non-Government;236861;*;13;Single;Technical;*;*;*;0;0;50;*;*
25;Non-Government;176520;*;9;Single;Technical;*;*;*;0;0;40;*;*
23;Non-Government;119838;*;13;Single;Technical;*;*;*;0;0;50;*;*
26;Non-Government;219897;*;14;Single;Technical;*;*;*;0;0;50;*;*
39;Non-Government;191807;*;9;Single;Technical;*;*;*;0;0;48;*;*
41;Non-Government;66632;*;10;Single;Technical;*;*;*;0;0;40;*;*
20;Non-Government;164922;*;9;Single;Technical;*;*;*;0;0;40;*;*
57;Non-Government;195176;*;14;Single;Technical;*;*;*;0;0;80;*;*
57;Non-Government;176079;*;14;Single;Technical;*;*;*;0;0;40;*;*
30;Non-Government;226013;*;13;Single;Technical;*;*;*;0;0;40;*;*
26;Non-Government;214303;*;13;Single;Technical;*;*;*;0;0;50;*;*
26;Non-Government;122999;*;14;Single;Technical;*;*;*;8614;0;40;*;*
40;Non-Government;121956;*;13;Single;Technical;*;*;*;13550;0;40;*;*
29;Non-Government;421065;*;9;Single;Technical;*;*;*;0;0;48;*;*
44;Non-Government;54611;*;10;Single;Technical;*;*;*;0;0;50;*;*
75;Non-Government;30599;*;14;Single;Technical;*;*;*;0;0;50;*;*
35;Non-Government;82552;*;9;Single;Technical;*;*;*;0;0;35;*;*
28;Non-Government;246595;*;9;Single;Technical;*;*;*;0;0;70;*;*
34;Non-Government;173806;*;14;Single;Technical;*;*;*;4865;0;60;*;*
23;Non-Government;193089;*;7;Single;Technical;*;*;*;0;0;40;*;*
36;Non-Government;103110;*;16;Single;Technical;*;*;*;0;0;40;*;*
53;Non-Government;166368;*;10;Single;Technical;*;*;*;0;0;40;*;*
24;Non-Government;99386;*;13;Single;Technical;*;*;*;0;0;40;*;*
22;Non-Government;62507;*;13;Single;Technical;*;*;*;0;0;40;*;*
45;Non-Government;371886;*;13;Single;Technical;*;*;*;0;0;46;*;*
25;Non-Government;305449;*;10;Single;Technical;*;*;*;0;0;40;*;*
42;Non-Government;121287;*;9;Single;Technical;*;*;*;0;0;45;*;*
26;Non-Government;125680;*;13;Single;Technical;*;*;*;0;0;16;*;*
30;Non-Government;343699;*;9;Single;Technical;*;*;*;0;0;40;*;*
26;Non-Government;211265;*;10;Single;Technical;*;*;*;0;0;35;*;*
37;Non-Government;35330;*;9;Single;Technical;*;*;*;0;1669;55;*;*
39;Non-Government;179579;*;9;Single;Technical;*;*;*;0;0;40;*;*
20;Non-Government;108887;*;9;Single;Technical;*;*;*;0;0;40;*;*
25;Non-Government;441591;*;13;Single;Technical;*;*;*;0;0;40;*;*
35;Non-Government;23621;*;9;Single;Technical;*;*;*;0;0;70;*;*
49;Non-Government;122493;*;9;Single;Technical;*;*;*;0;0;40;*;*
52;Non-Government;54933;*;14;Single;Technical;*;*;*;0;0;40;*;*
18;Non-Government;98044;*;7;Single;Technical;*;*;*;0;0;40;*;*
28;Non-Government;201175;*;7;Single;Technical;*;*;*;0;0;40;*;*
17;Non-Government;195262;*;7;Single;Technical;*;*;*;0;0;17;*;*
46;Non-Government;187581;*;9;Single;Technical;*;*;*;0;0;40;*;*
47;Non-Government;77102;*;14;Single;Technical;*;*;*;0;0;40;*;*
24;Non-Government;353010;*;13;Single;Technical;*;*;*;0;0;65;*;*
34;Non-Government;221324;*;9;Single;Technical;*;*;*;0;0;40;*;*
22;Non-Government;228452;*;6;Single;Technical;*;*;*;0;0;30;*;*
23;Non-Government;336360;*;4;Single;Technical;*;*;*;0;0;40;*;*
43;Non-Government;160815;*;11;Single;Technical;*;*;*;0;0;40;*;*
35;Non-Government;170263;*;10;Single;Technical;*;*;*;0;0;40;*;*
31;Non-Government;54929;*;10;Single;Technical;*;*;*;0;0;60;*;*
23;Non-Government;482082;*;8;Single;Technical;*;*;*;0;0;21;*;*
38;Non-Government;105017;*;9;Single;Technical;*;*;*;0;0;40;*;*
23;Non-Government;27776;*;11;Single;Technical;*;*;*;0;0;40;*;*
29;Non-Government;40083;*;16;Single;Technical;*;*;*;0;0;40;*;*
46;Non-Government;109089;*;9;Single;Technical;*;*;*;0;0;37;*;*
56;Non-Government;143030;*;9;Single;Technical;*;*;*;0;0;40;*;*
21;Non-Government;212619;*;11;Single;Technical;*;*;*;0;0;40;*;*
22;Non-Government;199011;*;9;Single;Technical;*;*;*;0;0;20;*;*
26;Non-Government;386585;*;10;Single;Technical;*;*;*;0;0;60;*;*
42;Non-Government;27444;*;10;Single;Technical;*;*;*;0;0;40;*;*
58;Non-Government;131608;*;10;Single;Technical;*;*;*;0;0;40;*;*
40;Non-Government;234633;*;10;Single;Technical;*;*;*;0;0;40;*;*
22;Non-Government;460835;*;9;Single;Technical;*;*;*;0;0;55;*;*
37;Non-Government;200863;*;10;Single;Technical;*;*;*;0;0;40;*;*
32;Non-Government;235124;*;11;Single;Technical;*;*;*;0;0;40;*;*
41;Non-Government;160837;*;7;Single;Technical;*;*;*;0;0;40;*;*
23;Non-Government;176178;*;9;Single;Technical;*;*;*;0;0;40;*;*
34;Non-Government;215382;*;14;Single;Technical;*;*;*;4787;0;40;*;*
25;Non-Government;122999;*;9;Single;Technical;*;*;*;0;0;40;*;*
55;Non-Government;67450;*;16;Single;Technical;*;*;*;0;0;40;*;*
17;Non-Government;317681;*;7;Single;Technical;*;*;*;0;0;10;*;*
22;Non-Government;189950;*;13;Single;Technical;*;*;*;0;0;55;*;*
25;Non-Government;302465;*;8;Single;Technical;*;*;*;0;1741;40;*;*
53;Non-Government;156843;*;14;Single;Technical;*;*;*;0;1564;54;*;*
34;Non-Government;509364;*;9;Single;Technical;*;*;*;0;0;30;*;*
20;Non-Government;137651;*;10;Single;Technical;*;*;*;0;0;40;*;*
26;Non-Government;44308;*;13;Single;Technical;*;*;*;0;0;40;*;*
20;Non-Government;100188;*;10;Single;Technical;*;*;*;0;0;24;*;*
23;Non-Government;70894;*;12;Single;Technical;*;*;*;0;0;40;*;*
37;Non-Government;291251;*;9;Single;Technical;*;*;*;0;0;40;*;*
31;Non-Government;122749;*;11;Single;Technical;*;*;*;0;0;20;*;*
26;Non-Government;284343;*;12;Single;Technical;*;*;*;0;0;40;*;*
48;Non-Government;80651;*;9;Single;Technical;*;*;*;0;0;55;*;*
24;Non-Government;311376;*;13;Single;Technical;*;*;*;0;0;40;*;*
32;Non-Government;123429;*;6;Single;Technical;*;*;*;0;0;40;*;*
36;Non-Government;104772;*;9;Single;Technical;*;*;*;0;0;48;*;*
18;Non-Government;415520;*;7;Single;Technical;*;*;*;0;0;20;*;*
60;Non-Government;162947;*;3;Single;Technical;*;*;*;0;0;40;*;*
52;Non-Government;163027;*;9;Single;Technical;*;*;*;0;0;50;*;*
57;Non-Government;73309;*;9;Single;Technical;*;*;*;0;0;55;*;*
34;Non-Government;345705;*;9;Single;Technical;*;*;*;0;0;45;*;*
43;Non-Government;188696;*;11;Single;Technical;*;*;*;0;0;40;*;*
54;Non-Government;175912;*;9;Single;Technical;*;*;*;914;0;40;*;*
40;Non-Government;216116;*;5;Single;Technical;*;*;*;0;0;40;*;*
56;Non-Government;117881;*;7;Single;Technical;*;*;*;0;0;40;*;*
40;Non-Government;153799;*;2;Single;Technical;*;*;*;0;0;40;*;*
57;Non-Government;348430;*;2;Single;Technical;*;*;*;0;0;40;*;*
77;Non-Government;145329;*;9;Single;Technical;*;*;*;401;0;20;*;*
23;Non-Government;133985;*;6;Single;Technical;*;*;*;0;0;40;*;*
37;Non-Government;269329;*;11;Single;Technical;*;*;*;8614;0;45;*;*
19;Non-Government;57067;*;9;Single;Technical;*;*;*;0;0;45;*;*
24;Non-Government;210781;*;13;Single;Technical;*;*;*;0;0;40;*;*
34;Non-Government;314375;*;11;Single;Technical;*;*;*;0;0;40;*;*
41;Non-Government;176069;*;9;Single;Technical;*;*;*;0;0;40;*;*
38;Non-Government;284166;*;15;Single;Technical;*;*;*;0;0;50;*;*
64;Non-Government;91343;*;10;Single;Technical;*;*;*;0;0;40;*;*
49;Non-Government;188823;*;9;Single;Technical;*;*;*;0;0;42;*;*
40;Non-Government;218903;*;9;Single;Technical;*;*;*;0;0;40;*;*
19;Non-Government;280071;*;10;Single;Technical;*;*;*;0;0;50;*;*
24;Non-Government;265567;*;7;Single;Technical;*;*;*;0;0;35;*;*
28;Non-Government;355259;*;14;Single;Technical;*;*;*;0;0;40;*;*
20;Non-Government;190231;*;5;Single;Technical;*;*;*;0;0;11;*;*
24;Non-Government;199011;*;9;Single;Technical;*;*;*;0;0;40;*;*
44;Non-Government;133060;*;10;Single;Technical;*;*;*;0;0;60;*;*
34;Non-Government;33945;*;9;Single;Technical;*;*;*;6849;0;55;*;*
34;Non-Government;355571;*;9;Single;Technical;*;*;*;0;0;40;*;*
33;Non-Government;164190;*;14;Single;Technical;*;*;*;0;0;20;*;*
41;Non-Government;23646;*;14;Single;Technical;*;*;*;0;0;40;*;*
22;Non-Government;130356;*;10;Single;Technical;*;*;*;0;0;48;*;*
22;Non-Government;427686;*;6;Single;Technical;*;*;*;0;0;40;*;*
23;Non-Government;325596;*;10;Single;Technical;*;*;*;0;0;40;*;*
40;Non-Government;367533;*;9;Single;Technical;*;*;*;0;0;40;*;*
44;Non-Government;75227;*;15;Single;Technical;*;*;*;14084;0;40;*;*
27;Non-Government;217200;*;10;Single;Technical;*;*;*;0;0;40;*;*
40;Non-Government;335549;*;15;Single;Technical;*;*;*;0;2444;45;*;*
44;Non-Government;367749;*;2;Single;Technical;*;*;*;0;0;40;*;*
30;Non-Government;103435;*;9;Single;Technical;*;*;*;0;0;40;*;*
25;Non-Government;210278;*;13;Single;Technical;*;*;*;0;0;30;*;*
