Age;Job;Marital;Education;Default;Housing;Loan;Contact;Month;Day_of_week;Campaign;Pdays;Previous;Poutcome;Y
80~84;housemaid;divorced;primary-education;no;*;unknown;cellular;apr;*;6;999;0;nonexistent;yes
80~84;retired;divorced;primary-education;no;*;yes;cellular;apr;*;2;999;0;nonexistent;yes
80~84;retired;divorced;primary-education;no;*;no;cellular;apr;*;1;6;2;success;yes
80~84;housemaid;married;primary-education;unknown;*;no;cellular;apr;*;6;6;1;success;yes
80~84;housemaid;married;primary-education;unknown;*;no;cellular;apr;*;1;6;2;success;yes
80~84;housemaid;married;primary-education;unknown;*;no;cellular;apr;*;1;999;0;nonexistent;no
80~84;housemaid;married;primary-education;unknown;*;no;cellular;apr;*;1;999;1;failure;yes
80~84;retired;married;primary-education;no;*;no;cellular;may;*;1;999;1;failure;no
80~84;retired;divorced;primary-education;no;*;yes;cellular;jun;*;2;999;0;nonexistent;yes
80~84;housemaid;divorced;primary-education;no;*;yes;cellular;jul;*;1;999;3;failure;no
80~84;housemaid;divorced;primary-education;no;*;no;cellular;jul;*;2;3;1;success;yes
80~84;housemaid;divorced;primary-education;no;*;no;cellular;jul;*;1;999;0;nonexistent;yes
80~84;retired;divorced;primary-education;no;*;yes;cellular;jul;*;1;3;2;success;yes
80~84;retired;married;primary-education;no;*;no;cellular;aug;*;4;999;0;nonexistent;no
80~84;retired;divorced;primary-education;no;*;no;cellular;sep;*;2;7;1;success;yes
80~84;retired;married;primary-education;no;*;no;cellular;sep;*;1;3;2;success;yes
80~84;retired;divorced;primary-education;no;*;no;cellular;sep;*;3;999;0;nonexistent;no
80~84;retired;divorced;primary-education;no;*;no;cellular;sep;*;1;9;3;success;yes
80~84;housemaid;married;primary-education;no;*;no;telephone;sep;*;3;3;2;success;yes
80~84;retired;divorced;primary-education;no;*;no;cellular;sep;*;2;999;1;failure;yes
80~84;retired;divorced;primary-education;no;*;no;cellular;oct;*;2;3;2;success;no
80~84;retired;divorced;primary-education;no;*;no;cellular;oct;*;1;999;1;failure;no
80~84;retired;divorced;primary-education;unknown;*;no;cellular;oct;*;4;999;0;nonexistent;no
80~84;retired;divorced;primary-education;unknown;*;yes;cellular;oct;*;4;3;1;success;no
80~84;retired;married;primary-education;no;*;no;cellular;oct;*;1;999;2;failure;yes
80~84;retired;married;other;no;*;no;cellular;apr;*;1;999;0;nonexistent;yes
80~84;retired;divorced;other;unknown;*;yes;cellular;may;*;1;999;0;nonexistent;yes
80~84;retired;married;other;no;*;no;cellular;sep;*;1;999;0;nonexistent;no
80~84;retired;married;other;no;*;no;cellular;sep;*;2;999;0;nonexistent;no
80~84;unknown;divorced;other;unknown;*;no;cellular;nov;*;1;999;1;failure;yes
80~84;unknown;divorced;other;unknown;*;no;cellular;nov;*;1;999;1;failure;yes
80~84;retired;divorced;other;unknown;*;no;cellular;sep;*;1;3;2;success;yes
80~84;retired;married;higher-education;no;*;no;cellular;apr;*;2;999;0;nonexistent;no
80~84;retired;married;higher-education;no;*;no;cellular;apr;*;1;999;0;nonexistent;no
80~84;retired;married;higher-education;no;*;no;cellular;aug;*;2;999;2;failure;no
80~84;retired;married;higher-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;yes
80~84;retired;married;higher-education;no;*;no;cellular;oct;*;2;4;1;success;yes
80~84;retired;married;higher-education;no;*;no;cellular;oct;*;1;999;0;nonexistent;yes
80~84;retired;married;higher-education;no;*;yes;cellular;oct;*;1;999;1;failure;no
80~84;retired;married;higher-education;no;*;no;cellular;oct;*;1;999;0;nonexistent;no
80~84;retired;married;higher-education;unknown;*;yes;cellular;oct;*;2;6;1;success;no
80~84;retired;single;higher-education;no;*;no;cellular;mar;*;7;7;2;success;no
80~84;retired;married;higher-education;no;*;no;telephone;mar;*;2;999;0;nonexistent;yes
80~84;retired;married;higher-education;no;*;no;cellular;jul;*;1;6;2;success;yes
80~84;retired;married;higher-education;no;*;no;telephone;jul;*;1;12;1;success;yes
80~84;retired;married;higher-education;unknown;*;no;cellular;sep;*;3;3;4;success;no
75~79;blue-collar;married;secondary-education;no;*;no;cellular;apr;*;6;999;3;failure;no
75~79;retired;married;secondary-education;no;*;no;cellular;may;*;2;3;2;failure;no
75~79;retired;married;secondary-education;no;*;unknown;cellular;jun;*;1;999;1;failure;no
75~79;retired;married;secondary-education;no;*;yes;cellular;jun;*;1;999;1;failure;no
75~79;retired;married;secondary-education;no;*;no;telephone;aug;*;1;999;0;nonexistent;yes
75~79;retired;divorced;secondary-education;no;*;no;cellular;oct;*;1;999;0;nonexistent;yes
75~79;retired;married;secondary-education;no;*;no;cellular;apr;*;7;999;0;nonexistent;yes
75~79;retired;married;secondary-education;no;*;no;cellular;may;*;2;999;0;nonexistent;no
75~79;retired;divorced;secondary-education;no;*;no;cellular;sep;*;1;999;2;failure;no
75~79;retired;married;primary-education;unknown;*;no;cellular;mar;*;1;999;0;nonexistent;no
75~79;retired;married;primary-education;unknown;*;no;cellular;mar;*;1;999;0;nonexistent;no
75~79;retired;married;primary-education;no;*;no;cellular;apr;*;1;999;0;nonexistent;yes
75~79;retired;married;primary-education;no;*;yes;cellular;apr;*;1;999;0;nonexistent;no
75~79;retired;married;primary-education;no;*;no;telephone;apr;*;2;999;0;nonexistent;yes
75~79;retired;married;primary-education;no;*;no;cellular;apr;*;1;999;0;nonexistent;yes
75~79;retired;divorced;primary-education;no;*;no;cellular;apr;*;1;999;1;failure;no
75~79;management;single;primary-education;no;*;no;cellular;jun;*;2;999;1;failure;no
75~79;retired;married;primary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;yes
75~79;retired;married;primary-education;no;*;no;cellular;aug;*;2;999;0;nonexistent;yes
75~79;retired;married;primary-education;no;*;no;cellular;aug;*;2;999;0;nonexistent;no
75~79;retired;married;primary-education;no;*;yes;cellular;aug;*;1;999;1;failure;no
75~79;retired;married;primary-education;no;*;no;cellular;aug;*;4;999;0;nonexistent;no
75~79;retired;married;primary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;no
75~79;retired;married;primary-education;no;*;no;cellular;aug;*;1;999;1;failure;no
75~79;housemaid;married;primary-education;no;*;no;cellular;aug;*;1;3;2;success;yes
75~79;retired;married;primary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;yes
75~79;retired;married;primary-education;no;*;no;cellular;aug;*;1;3;2;success;no
75~79;retired;married;primary-education;no;*;yes;cellular;aug;*;1;999;0;nonexistent;no
75~79;retired;married;primary-education;no;*;no;cellular;sep;*;1;999;1;failure;yes
75~79;retired;divorced;primary-education;no;*;no;cellular;sep;*;1;999;0;nonexistent;no
75~79;retired;married;primary-education;no;*;no;cellular;sep;*;2;3;1;success;yes
75~79;retired;married;primary-education;no;*;no;telephone;oct;*;1;999;0;nonexistent;no
75~79;retired;divorced;primary-education;no;*;no;cellular;oct;*;1;999;0;nonexistent;no
75~79;retired;divorced;primary-education;no;*;no;cellular;oct;*;1;999;0;nonexistent;no
75~79;retired;married;primary-education;no;*;yes;cellular;oct;*;1;999;1;failure;no
75~79;retired;married;primary-education;no;*;no;cellular;oct;*;1;999;2;failure;yes
75~79;retired;married;primary-education;no;*;no;cellular;oct;*;2;999;0;nonexistent;no
75~79;retired;divorced;primary-education;no;*;no;cellular;oct;*;2;999;2;failure;no
75~79;retired;divorced;primary-education;no;*;no;cellular;oct;*;2;999;0;nonexistent;yes
75~79;retired;divorced;primary-education;no;*;no;telephone;oct;*;2;999;0;nonexistent;no
75~79;retired;married;primary-education;no;*;yes;cellular;nov;*;1;999;0;nonexistent;yes
75~79;retired;single;primary-education;no;*;no;cellular;nov;*;4;6;1;success;yes
75~79;retired;married;primary-education;no;*;yes;cellular;nov;*;2;3;1;success;yes
75~79;retired;married;primary-education;no;*;no;cellular;nov;*;1;3;1;success;yes
75~79;retired;divorced;primary-education;no;*;no;cellular;nov;*;1;3;1;success;no
75~79;retired;divorced;primary-education;no;*;no;cellular;nov;*;2;3;1;success;yes
75~79;retired;divorced;primary-education;no;*;no;cellular;nov;*;2;999;1;failure;yes
75~79;retired;divorced;primary-education;no;*;no;cellular;nov;*;2;999;0;nonexistent;no
75~79;retired;divorced;primary-education;no;*;yes;cellular;dec;*;5;999;1;failure;no
75~79;retired;married;primary-education;no;*;no;cellular;mar;*;3;6;4;success;yes
75~79;retired;married;primary-education;no;*;no;cellular;mar;*;1;999;0;nonexistent;yes
75~79;retired;married;primary-education;no;*;no;telephone;mar;*;1;999;0;nonexistent;no
75~79;retired;married;primary-education;no;*;no;cellular;apr;*;4;999;1;failure;no
75~79;housemaid;married;primary-education;no;*;yes;cellular;apr;*;1;12;1;success;yes
75~79;retired;divorced;primary-education;no;*;no;cellular;apr;*;1;999;0;nonexistent;no
75~79;retired;divorced;primary-education;no;*;no;telephone;apr;*;1;999;0;nonexistent;yes
75~79;retired;divorced;primary-education;no;*;no;telephone;apr;*;2;999;0;nonexistent;yes
75~79;retired;divorced;primary-education;no;*;yes;cellular;apr;*;2;999;0;nonexistent;yes
75~79;retired;divorced;primary-education;no;*;no;cellular;apr;*;1;999;0;nonexistent;no
75~79;retired;divorced;primary-education;no;*;yes;cellular;apr;*;1;10;2;success;yes
75~79;retired;married;primary-education;no;*;no;cellular;may;*;1;999;2;failure;no
75~79;retired;married;primary-education;no;*;no;cellular;may;*;1;999;0;nonexistent;no
75~79;retired;divorced;primary-education;no;*;no;cellular;may;*;2;7;2;success;no
75~79;retired;married;primary-education;no;*;no;cellular;may;*;2;6;2;success;yes
75~79;retired;married;primary-education;no;*;no;cellular;may;*;1;3;3;success;yes
75~79;retired;married;primary-education;no;*;yes;cellular;may;*;1;999;1;failure;no
75~79;retired;divorced;primary-education;no;*;no;cellular;may;*;1;999;1;failure;yes
75~79;retired;divorced;primary-education;no;*;no;cellular;may;*;1;999;0;nonexistent;yes
75~79;housemaid;married;primary-education;no;*;no;cellular;jun;*;1;999;1;failure;yes
75~79;housemaid;married;primary-education;no;*;no;cellular;jun;*;5;999;0;nonexistent;yes
75~79;retired;married;primary-education;no;*;yes;cellular;jul;*;1;999;1;failure;yes
75~79;retired;married;primary-education;no;*;no;telephone;jul;*;2;999;0;nonexistent;yes
75~79;retired;married;primary-education;no;*;no;cellular;jul;*;1;999;0;nonexistent;yes
75~79;retired;married;primary-education;no;*;no;cellular;jul;*;2;999;1;failure;yes
75~79;retired;married;primary-education;no;*;no;cellular;jul;*;1;13;2;success;yes
75~79;retired;married;primary-education;no;*;unknown;cellular;jul;*;2;3;1;success;yes
75~79;retired;divorced;primary-education;no;*;yes;cellular;jul;*;2;6;2;success;yes
75~79;retired;married;primary-education;no;*;no;cellular;aug;*;1;9;4;failure;yes
75~79;retired;divorced;primary-education;no;*;no;cellular;aug;*;1;999;1;failure;yes
75~79;retired;married;primary-education;no;*;no;cellular;sep;*;1;999;2;failure;no
75~79;retired;divorced;primary-education;no;*;no;telephone;sep;*;4;999;0;nonexistent;no
75~79;retired;married;primary-education;no;*;no;cellular;sep;*;1;999;0;nonexistent;yes
75~79;retired;divorced;other;no;*;no;cellular;mar;*;1;999;0;nonexistent;yes
75~79;retired;married;other;no;*;no;cellular;aug;*;2;999;0;nonexistent;no
75~79;retired;married;other;unknown;*;yes;cellular;aug;*;1;6;1;success;yes
75~79;management;married;other;no;*;no;cellular;sep;*;1;999;0;nonexistent;no
75~79;management;married;other;no;*;no;cellular;sep;*;1;999;0;nonexistent;yes
75~79;unknown;married;other;no;*;no;cellular;sep;*;1;999;0;nonexistent;no
75~79;unknown;married;other;no;*;no;cellular;sep;*;1;999;1;failure;yes
75~79;retired;divorced;other;no;*;no;cellular;oct;*;2;999;0;nonexistent;no
75~79;retired;divorced;other;no;*;yes;cellular;nov;*;2;3;1;success;yes
75~79;retired;married;other;no;*;no;cellular;nov;*;1;999;0;nonexistent;yes
75~79;retired;married;other;no;*;no;cellular;nov;*;1;3;1;success;yes
75~79;retired;married;other;no;*;no;cellular;mar;*;1;6;2;success;yes
75~79;retired;married;other;no;*;yes;cellular;may;*;3;999;0;nonexistent;no
75~79;retired;divorced;other;no;*;no;cellular;jun;*;4;999;0;nonexistent;yes
75~79;retired;divorced;other;no;*;no;cellular;jun;*;1;999;0;nonexistent;yes
75~79;retired;married;other;no;*;no;cellular;jul;*;1;999;1;failure;no
75~79;retired;married;other;no;*;no;cellular;jul;*;3;999;0;nonexistent;yes
75~79;unknown;married;other;no;*;no;telephone;jul;*;3;999;0;nonexistent;yes
75~79;management;married;other;no;*;no;cellular;aug;*;1;3;6;success;yes
75~79;retired;married;other;no;*;no;cellular;aug;*;8;999;2;failure;no
75~79;retired;married;higher-education;no;*;yes;cellular;mar;*;9;999;0;nonexistent;no
75~79;management;divorced;higher-education;unknown;*;no;cellular;mar;*;2;999;0;nonexistent;yes
75~79;retired;married;higher-education;no;*;no;cellular;aug;*;2;999;0;nonexistent;yes
75~79;retired;married;higher-education;no;*;no;cellular;aug;*;1;999;1;failure;no
75~79;retired;married;higher-education;no;*;no;cellular;aug;*;1;15;1;success;yes
75~79;retired;married;higher-education;no;*;no;cellular;sep;*;1;999;1;failure;no
75~79;retired;married;higher-education;no;*;yes;cellular;oct;*;1;999;0;nonexistent;yes
75~79;retired;married;higher-education;no;*;no;cellular;nov;*;1;999;0;nonexistent;no
75~79;retired;married;higher-education;no;*;no;cellular;nov;*;2;999;1;failure;yes
75~79;retired;married;higher-education;no;*;no;cellular;dec;*;1;999;0;nonexistent;no
75~79;retired;married;higher-education;no;*;no;cellular;dec;*;1;999;1;failure;no
75~79;retired;married;higher-education;no;*;yes;cellular;dec;*;2;4;2;success;yes
75~79;retired;married;higher-education;no;*;yes;cellular;dec;*;3;4;2;success;yes
75~79;retired;married;higher-education;no;*;unknown;cellular;dec;*;6;999;1;failure;no
75~79;retired;divorced;higher-education;no;*;no;cellular;dec;*;1;999;0;nonexistent;no
75~79;retired;divorced;higher-education;no;*;no;cellular;mar;*;1;999;1;failure;yes
75~79;retired;married;higher-education;no;*;no;cellular;may;*;1;6;4;success;yes
75~79;retired;married;higher-education;no;*;no;telephone;may;*;1;3;4;success;yes
75~79;retired;married;higher-education;unknown;*;no;cellular;jun;*;1;3;1;success;yes
75~79;retired;married;higher-education;unknown;*;no;cellular;jun;*;1;9;2;success;yes
75~79;retired;divorced;higher-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;no
75~79;retired;married;higher-education;no;*;no;cellular;aug;*;2;6;3;success;yes
75~79;retired;married;higher-education;no;*;no;cellular;aug;*;1;999;1;failure;no
75~79;retired;married;higher-education;no;*;no;cellular;oct;*;1;999;1;failure;yes
70~74;retired;married;secondary-education;no;*;no;cellular;apr;*;2;999;0;nonexistent;no
70~74;retired;married;secondary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;no
70~74;retired;married;secondary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;no
70~74;retired;married;secondary-education;no;*;no;cellular;aug;*;1;999;1;failure;yes
70~74;retired;married;secondary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;no
70~74;retired;divorced;secondary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;no
70~74;retired;married;secondary-education;no;*;no;cellular;nov;*;1;999;0;nonexistent;yes
70~74;retired;divorced;secondary-education;no;*;yes;telephone;dec;*;6;999;0;nonexistent;no
70~74;retired;divorced;secondary-education;no;*;no;cellular;dec;*;1;999;0;nonexistent;yes
70~74;retired;divorced;secondary-education;no;*;yes;cellular;dec;*;3;6;2;success;yes
70~74;retired;divorced;secondary-education;no;*;no;telephone;apr;*;1;6;2;success;yes
70~74;retired;married;secondary-education;no;*;no;cellular;sep;*;1;999;0;nonexistent;no
70~74;retired;married;secondary-education;no;*;no;telephone;sep;*;1;999;2;failure;no
70~74;retired;married;secondary-education;no;*;no;cellular;sep;*;1;999;0;nonexistent;yes
70~74;retired;divorced;primary-education;no;*;no;cellular;mar;*;1;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;unknown;cellular;apr;*;1;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;telephone;apr;*;1;999;0;nonexistent;no
70~74;retired;divorced;primary-education;no;*;yes;cellular;apr;*;1;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;no;telephone;apr;*;2;999;0;nonexistent;no
70~74;housemaid;divorced;primary-education;no;*;no;cellular;apr;*;4;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;apr;*;1;6;1;success;no
70~74;retired;married;primary-education;no;*;yes;cellular;apr;*;2;999;0;nonexistent;no
70~74;retired;divorced;primary-education;no;*;no;cellular;apr;*;4;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;no;cellular;apr;*;2;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;apr;*;1;999;1;failure;yes
70~74;retired;married;primary-education;no;*;no;cellular;apr;*;2;999;1;failure;yes
70~74;retired;divorced;primary-education;no;*;yes;cellular;apr;*;1;999;1;failure;no
70~74;retired;divorced;primary-education;no;*;no;telephone;apr;*;1;999;0;nonexistent;no
70~74;retired;divorced;primary-education;no;*;yes;cellular;may;*;3;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;jun;*;1;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;yes;cellular;jul;*;2;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;yes;cellular;aug;*;1;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;no;cellular;aug;*;1;15;1;success;no
70~74;retired;married;primary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;yes;cellular;aug;*;1;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;aug;*;1;999;1;failure;no
70~74;retired;divorced;primary-education;no;*;yes;cellular;aug;*;2;999;1;failure;no
70~74;retired;married;primary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;yes
70~74;retired;divorced;primary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;aug;*;1;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;no;cellular;aug;*;1;999;1;failure;yes
70~74;retired;married;primary-education;unknown;*;unknown;cellular;aug;*;1;999;0;nonexistent;yes
70~74;retired;divorced;primary-education;no;*;no;cellular;aug;*;1;13;1;success;yes
70~74;retired;married;primary-education;unknown;*;no;cellular;aug;*;1;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;aug;*;2;999;1;failure;no
70~74;retired;married;primary-education;unknown;*;no;cellular;aug;*;2;6;1;success;yes
70~74;retired;married;primary-education;no;*;unknown;cellular;aug;*;3;999;1;failure;yes
70~74;retired;married;primary-education;no;*;no;telephone;sep;*;1;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;sep;*;1;3;2;success;yes
70~74;retired;married;primary-education;no;*;no;cellular;sep;*;1;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;no;cellular;sep;*;1;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;sep;*;2;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;sep;*;2;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;oct;*;2;999;2;failure;no
70~74;retired;married;primary-education;no;*;no;cellular;oct;*;1;999;1;failure;yes
70~74;retired;divorced;primary-education;unknown;*;no;cellular;oct;*;1;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;no;cellular;oct;*;2;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;oct;*;1;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;oct;*;1;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;oct;*;2;6;1;success;yes
70~74;retired;divorced;primary-education;no;*;no;cellular;oct;*;2;999;3;failure;no
70~74;retired;married;primary-education;no;*;yes;cellular;oct;*;1;6;1;success;no
70~74;retired;married;primary-education;no;*;no;cellular;oct;*;1;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;no;cellular;oct;*;1;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;no;cellular;oct;*;2;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;telephone;oct;*;1;999;0;nonexistent;no
70~74;retired;divorced;primary-education;no;*;no;cellular;oct;*;2;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;yes;cellular;oct;*;3;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;no;cellular;oct;*;1;6;1;success;no
70~74;housemaid;married;primary-education;no;*;no;cellular;nov;*;2;999;0;nonexistent;yes
70~74;retired;married;primary-education;no;*;no;cellular;nov;*;2;999;1;failure;no
70~74;retired;married;primary-education;no;*;no;cellular;nov;*;1;999;1;failure;yes
70~74;retired;divorced;primary-education;no;*;no;cellular;nov;*;1;999;0;nonexistent;yes
70~74;retired;divorced;primary-education;no;*;no;cellular;nov;*;2;999;0;nonexistent;yes
70~74;housemaid;divorced;primary-education;no;*;no;telephone;nov;*;8;3;1;success;no
70~74;retired;married;primary-education;unknown;*;no;cellular;nov;*;2;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;dec;*;5;999;0;nonexistent;no
70~74;retired;married;primary-education;no;*;no;cellular;mar;*;2;999;1;failure;no
70~74;retired;married;primary-education;no;*;no;cellular;mar;*;2;999;1;failure;yes
