Age;Job;Marital;Education;Default;Housing;Loan;Contact;Month;Day_of_week;Campaign;Pdays;Previous;Poutcome;Y
80~84;retired;married;university.degree;unknown;yes;yes;cellular;oct;tue;1~56;6;1;success;no
80~84;housemaid;married;basic.4y;no;yes;no;cellular;oct;wed;1~56;999;0;nonexistent;no
80~84;retired;single;basic.4y;no;yes;no;cellular;oct;thu;1~56;999;0;nonexistent;yes
80~84;retired;single;basic.4y;no;yes;no;cellular;oct;thu;1~56;999;0;nonexistent;no
80~84;unknown;divorced;unknown;unknown;yes;no;cellular;nov;mon;1~56;999;1;failure;yes
80~84;unknown;divorced;unknown;unknown;yes;no;cellular;nov;mon;1~56;999;1;failure;yes
80~84;retired;divorced;basic.4y;no;yes;no;cellular;nov;tue;1~56;3;1;success;yes
80~84;retired;divorced;basic.4y;no;no;no;cellular;nov;tue;1~56;3;3;success;yes
80~84;retired;divorced;basic.4y;no;yes;yes;cellular;nov;tue;1~56;999;0;nonexistent;no
80~84;housemaid;divorced;basic.4y;no;yes;no;cellular;nov;mon;1~56;999;0;nonexistent;no
80~84;retired;married;high.school;no;no;no;cellular;dec;thu;1~56;4;3;success;yes
80~84;retired;married;high.school;no;yes;no;cellular;dec;thu;1~56;999;0;nonexistent;no
80~84;retired;divorced;basic.4y;no;yes;no;cellular;dec;fri;1~56;999;0;nonexistent;yes
80~84;retired;divorced;basic.4y;unknown;yes;no;cellular;dec;mon;1~56;6;1;success;yes
80~84;retired;married;high.school;no;no;no;cellular;dec;tue;1~56;999;0;nonexistent;yes
80~84;retired;divorced;basic.4y;unknown;yes;no;telephone;dec;tue;1~56;999;0;nonexistent;no
80~84;retired;single;professional.course;no;no;no;cellular;mar;fri;1~56;7;2;success;no
80~84;retired;married;professional.course;no;yes;no;telephone;mar;mon;1~56;999;0;nonexistent;yes
80~84;retired;divorced;basic.4y;no;no;no;cellular;apr;thu;1~56;999;2;failure;no
80~84;housemaid;divorced;basic.4y;no;unknown;unknown;cellular;apr;tue;1~56;999;0;nonexistent;yes
80~84;retired;divorced;basic.4y;no;yes;yes;cellular;apr;mon;1~56;999;0;nonexistent;yes
80~84;retired;divorced;basic.4y;no;no;no;cellular;apr;mon;1~56;6;2;success;yes
80~84;housemaid;married;basic.4y;unknown;no;no;cellular;apr;tue;1~56;6;1;success;yes
80~84;housemaid;married;basic.4y;unknown;yes;no;cellular;apr;tue;1~56;6;2;success;yes
80~84;housemaid;married;basic.4y;unknown;no;no;cellular;apr;tue;1~56;999;0;nonexistent;no
80~84;housemaid;married;basic.4y;unknown;yes;no;cellular;apr;tue;1~56;999;1;failure;yes
80~84;retired;married;high.school;unknown;yes;no;cellular;may;mon;1~56;999;0;nonexistent;no
80~84;retired;married;basic.9y;no;yes;no;cellular;may;wed;1~56;999;1;failure;no
80~84;retired;divorced;basic.4y;no;no;yes;cellular;jun;fri;1~56;999;0;nonexistent;yes
80~84;retired;divorced;high.school;no;no;no;cellular;jun;tue;1~56;999;4;failure;no
80~84;housemaid;divorced;basic.4y;no;yes;yes;cellular;jul;tue;1~56;999;3;failure;no
80~84;housemaid;divorced;basic.4y;no;yes;no;cellular;jul;tue;1~56;3;1;success;yes
80~84;retired;married;university.degree;no;yes;no;cellular;jul;tue;1~56;6;2;success;yes
80~84;retired;married;university.degree;no;no;no;telephone;jul;tue;1~56;12;1;success;yes
80~84;housemaid;divorced;basic.4y;no;no;no;cellular;jul;wed;1~56;999;0;nonexistent;yes
80~84;retired;divorced;basic.4y;no;yes;yes;cellular;jul;tue;1~56;3;2;success;yes
80~84;retired;married;basic.4y;no;yes;no;cellular;aug;mon;1~56;999;0;nonexistent;no
80~84;retired;divorced;basic.4y;no;no;no;cellular;sep;wed;1~56;7;1;success;yes
80~84;retired;married;basic.4y;no;no;no;cellular;sep;tue;1~56;3;2;success;yes
80~84;retired;divorced;basic.4y;no;yes;no;cellular;sep;thu;1~56;999;0;nonexistent;no
80~84;retired;divorced;basic.4y;no;no;no;cellular;sep;thu;1~56;9;3;success;yes
80~84;retired;married;university.degree;unknown;no;no;cellular;sep;mon;1~56;3;4;success;no
80~84;retired;divorced;unknown;unknown;no;no;cellular;sep;tue;1~56;3;2;success;yes
80~84;housemaid;married;basic.4y;no;no;no;telephone;sep;tue;1~56;3;2;success;yes
80~84;retired;divorced;basic.4y;no;yes;no;cellular;sep;thu;1~56;999;1;failure;yes
80~84;retired;divorced;basic.4y;no;yes;no;cellular;oct;thu;1~56;3;2;success;no
80~84;retired;divorced;basic.4y;no;yes;no;cellular;oct;thu;1~56;999;1;failure;no
80~84;retired;divorced;basic.4y;unknown;yes;no;cellular;oct;fri;1~56;999;0;nonexistent;no
80~84;retired;divorced;basic.4y;unknown;yes;yes;cellular;oct;mon;1~56;3;1;success;no
80~84;retired;married;basic.4y;no;yes;no;cellular;oct;wed;1~56;999;2;failure;yes
75~79;retired;married;university.degree;no;no;yes;cellular;mar;thu;1~56;999;0;nonexistent;no
75~79;retired;divorced;unknown;no;yes;no;cellular;mar;tue;1~56;999;0;nonexistent;yes
75~79;retired;married;basic.4y;unknown;yes;no;cellular;mar;mon;1~56;999;0;nonexistent;no
75~79;retired;married;basic.4y;unknown;no;no;cellular;mar;mon;1~56;999;0;nonexistent;no
75~79;management;divorced;professional.course;unknown;yes;no;cellular;mar;tue;1~56;999;0;nonexistent;yes
75~79;retired;married;basic.4y;no;yes;no;cellular;apr;tue;1~56;999;0;nonexistent;yes
75~79;retired;married;basic.4y;no;yes;yes;cellular;apr;tue;1~56;999;0;nonexistent;no
75~79;retired;married;basic.4y;no;yes;no;telephone;apr;tue;1~56;999;0;nonexistent;yes
75~79;blue-collar;married;high.school;no;no;no;cellular;apr;fri;1~56;999;3;failure;no
75~79;retired;married;basic.9y;no;yes;no;cellular;apr;thu;1~56;999;0;nonexistent;yes
75~79;retired;divorced;basic.4y;no;no;no;cellular;apr;thu;1~56;999;1;failure;no
75~79;retired;married;high.school;no;yes;no;cellular;may;mon;1~56;3;2;failure;no
75~79;management;single;basic.9y;no;no;no;cellular;jun;mon;1~56;999;1;failure;no
75~79;retired;married;high.school;no;unknown;unknown;cellular;jun;tue;1~56;999;1;failure;no
75~79;retired;married;high.school;no;yes;yes;cellular;jun;tue;1~56;999;1;failure;no
75~79;retired;married;unknown;no;no;no;cellular;aug;thu;1~56;999;0;nonexistent;no
75~79;retired;married;basic.4y;no;yes;no;cellular;aug;thu;1~56;999;0;nonexistent;yes
75~79;retired;married;basic.4y;no;yes;no;cellular;aug;fri;1~56;999;0;nonexistent;yes
75~79;retired;married;university.degree;no;no;no;cellular;aug;fri;1~56;999;0;nonexistent;yes
75~79;retired;married;illiterate;unknown;yes;yes;cellular;aug;tue;1~56;6;1;success;yes
75~79;retired;married;basic.4y;no;no;no;cellular;aug;wed;1~56;999;0;nonexistent;no
75~79;retired;married;basic.6y;no;no;yes;cellular;aug;thu;1~56;999;1;failure;no
75~79;retired;married;university.degree;no;yes;no;cellular;aug;thu;1~56;999;1;failure;no
75~79;retired;married;professional.course;no;no;no;cellular;aug;mon;1~56;15;1;success;yes
75~79;retired;married;high.school;no;no;no;telephone;aug;mon;1~56;999;0;nonexistent;yes
75~79;retired;married;basic.4y;no;no;no;cellular;aug;wed;1~56;999;0;nonexistent;no
75~79;retired;married;basic.4y;no;yes;no;cellular;aug;fri;1~56;999;0;nonexistent;no
75~79;retired;married;basic.4y;no;no;no;cellular;aug;fri;1~56;999;1;failure;no
75~79;housemaid;married;basic.4y;no;no;no;cellular;aug;fri;1~56;3;2;success;yes
75~79;retired;married;basic.4y;no;yes;no;cellular;aug;wed;1~56;999;0;nonexistent;yes
75~79;retired;married;basic.4y;no;yes;no;cellular;aug;wed;1~56;3;2;success;no
75~79;retired;married;basic.4y;no;no;yes;cellular;aug;wed;1~56;999;0;nonexistent;no
75~79;retired;married;basic.9y;no;no;no;cellular;sep;tue;1~56;999;1;failure;yes
75~79;management;married;unknown;no;no;no;cellular;sep;fri;1~56;999;0;nonexistent;no
75~79;management;married;unknown;no;no;no;cellular;sep;fri;1~56;999;0;nonexistent;yes
75~79;retired;divorced;basic.4y;no;no;no;cellular;sep;tue;1~56;999;0;nonexistent;no
75~79;unknown;married;unknown;no;yes;no;cellular;sep;wed;1~56;999;0;nonexistent;no
75~79;unknown;married;unknown;no;yes;no;cellular;sep;wed;1~56;999;1;failure;yes
75~79;retired;married;basic.4y;no;yes;no;cellular;sep;wed;1~56;3;1;success;yes
75~79;retired;married;university.degree;no;yes;no;cellular;sep;fri;1~56;999;1;failure;no
75~79;retired;married;basic.9y;no;yes;no;telephone;oct;thu;1~56;999;0;nonexistent;no
75~79;retired;divorced;basic.4y;no;no;no;cellular;oct;tue;1~56;999;0;nonexistent;no
75~79;retired;divorced;basic.4y;no;no;no;cellular;oct;tue;1~56;999;0;nonexistent;no
75~79;retired;divorced;unknown;no;no;no;cellular;oct;thu;1~56;999;0;nonexistent;no
75~79;retired;married;university.degree;no;no;yes;cellular;oct;mon;1~56;999;0;nonexistent;yes
75~79;retired;married;basic.4y;no;yes;yes;cellular;oct;tue;1~56;999;1;failure;no
75~79;retired;married;basic.4y;no;no;no;cellular;oct;tue;1~56;999;2;failure;yes
75~79;retired;married;basic.4y;no;no;no;cellular;oct;tue;1~56;999;0;nonexistent;no
75~79;retired;divorced;high.school;no;yes;no;cellular;oct;thu;1~56;999;0;nonexistent;yes
75~79;retired;divorced;basic.6y;no;no;no;cellular;oct;fri;1~56;999;2;failure;no
75~79;retired;divorced;basic.6y;no;no;no;cellular;oct;fri;1~56;999;0;nonexistent;yes
75~79;retired;divorced;basic.6y;no;no;no;telephone;oct;fri;1~56;999;0;nonexistent;no
75~79;retired;married;basic.4y;no;no;yes;cellular;nov;tue;1~56;999;0;nonexistent;yes
75~79;retired;single;basic.4y;no;no;no;cellular;nov;mon;1~56;6;1;success;yes
75~79;retired;married;basic.4y;no;no;yes;cellular;nov;tue;1~56;3;1;success;yes
75~79;retired;married;basic.4y;no;yes;no;cellular;nov;tue;1~56;3;1;success;yes
75~79;retired;divorced;basic.4y;no;yes;no;cellular;nov;thu;1~56;3;1;success;no
75~79;retired;divorced;unknown;no;yes;yes;cellular;nov;fri;1~56;3;1;success;yes
75~79;retired;married;unknown;no;yes;no;cellular;nov;fri;1~56;999;0;nonexistent;yes
75~79;retired;married;unknown;no;yes;no;cellular;nov;fri;1~56;3;1;success;yes
75~79;retired;divorced;basic.4y;no;yes;no;cellular;nov;fri;1~56;3;1;success;yes
75~79;retired;divorced;basic.4y;no;yes;no;cellular;nov;mon;1~56;999;1;failure;yes
75~79;retired;married;professional.course;no;yes;no;cellular;nov;wed;1~56;999;0;nonexistent;no
75~79;retired;married;professional.course;no;no;no;cellular;nov;fri;1~56;999;1;failure;yes
75~79;retired;divorced;basic.4y;no;no;no;cellular;nov;fri;1~56;999;0;nonexistent;no
75~79;retired;married;university.degree;no;yes;no;cellular;dec;wed;1~56;999;0;nonexistent;no
75~79;retired;divorced;basic.4y;no;no;yes;cellular;dec;fri;1~56;999;1;failure;no
75~79;retired;married;university.degree;no;no;no;cellular;dec;thu;1~56;999;1;failure;no
75~79;retired;married;university.degree;no;yes;yes;cellular;dec;thu;1~56;4;2;success;yes
75~79;retired;married;university.degree;no;no;yes;cellular;dec;thu;1~56;4;2;success;yes
75~79;retired;married;university.degree;no;unknown;unknown;cellular;dec;thu;1~56;999;1;failure;no
75~79;retired;divorced;professional.course;no;yes;no;cellular;dec;thu;1~56;999;0;nonexistent;no
75~79;retired;divorced;professional.course;no;yes;no;cellular;mar;tue;1~56;999;1;failure;yes
75~79;retired;married;basic.4y;no;no;no;cellular;mar;fri;1~56;6;4;success;yes
75~79;retired;married;basic.4y;no;yes;no;cellular;mar;thu;1~56;999;0;nonexistent;yes
75~79;retired;married;unknown;no;no;no;cellular;mar;thu;1~56;6;2;success;yes
75~79;retired;married;basic.4y;no;yes;no;telephone;mar;fri;1~56;999;0;nonexistent;no
75~79;retired;married;basic.4y;no;no;no;cellular;apr;tue;1~56;999;1;failure;no
75~79;housemaid;married;basic.4y;no;yes;yes;cellular;apr;tue;1~56;12;1;success;yes
75~79;retired;divorced;basic.4y;no;yes;no;cellular;apr;wed;1~56;999;0;nonexistent;no
75~79;retired;divorced;basic.4y;no;yes;no;telephone;apr;wed;1~56;999;0;nonexistent;yes
75~79;retired;divorced;basic.4y;no;yes;no;telephone;apr;wed;1~56;999;0;nonexistent;yes
75~79;retired;divorced;basic.4y;no;yes;yes;cellular;apr;wed;1~56;999;0;nonexistent;yes
75~79;retired;divorced;basic.4y;no;yes;no;cellular;apr;thu;1~56;999;0;nonexistent;no
75~79;retired;married;high.school;no;yes;no;cellular;apr;thu;1~56;999;0;nonexistent;yes
75~79;retired;divorced;basic.4y;no;yes;yes;cellular;apr;thu;1~56;10;2;success;yes
75~79;retired;married;basic.9y;no;no;no;cellular;may;tue;1~56;999;2;failure;no
75~79;retired;married;basic.9y;no;no;no;cellular;may;tue;1~56;999;0;nonexistent;no
75~79;retired;divorced;basic.4y;no;yes;no;cellular;may;fri;1~56;7;2;success;no
75~79;retired;married;university.degree;no;yes;no;cellular;may;wed;1~56;6;4;success;yes
75~79;retired;married;university.degree;no;yes;no;telephone;may;wed;1~56;3;4;success;yes
75~79;retired;married;basic.4y;no;yes;no;cellular;may;fri;1~56;6;2;success;yes
75~79;retired;married;unknown;no;yes;yes;cellular;may;fri;1~56;999;0;nonexistent;no
75~79;retired;married;basic.4y;no;no;no;cellular;may;mon;1~56;3;3;success;yes
75~79;retired;married;basic.9y;no;yes;yes;cellular;may;mon;1~56;999;1;failure;no
75~79;retired;divorced;basic.4y;no;yes;no;cellular;may;mon;1~56;999;1;failure;yes
75~79;retired;divorced;basic.4y;no;no;no;cellular;may;tue;1~56;999;0;nonexistent;yes
75~79;retired;married;high.school;no;yes;no;cellular;may;thu;1~56;999;0;nonexistent;no
75~79;housemaid;married;basic.4y;no;yes;no;cellular;jun;tue;1~56;999;1;failure;yes
75~79;housemaid;married;basic.4y;no;no;no;cellular;jun;tue;1~56;999;0;nonexistent;yes
75~79;retired;divorced;unknown;no;no;no;cellular;jun;thu;1~56;999;0;nonexistent;yes
75~79;retired;divorced;unknown;no;no;no;cellular;jun;thu;1~56;999;0;nonexistent;yes
75~79;retired;married;professional.course;unknown;yes;no;cellular;jun;tue;1~56;3;1;success;yes
75~79;retired;married;professional.course;unknown;yes;no;cellular;jun;tue;1~56;9;2;success;yes
75~79;retired;married;basic.4y;no;no;yes;cellular;jul;fri;1~56;999;1;failure;yes
75~79;retired;married;unknown;no;yes;no;cellular;jul;wed;1~56;999;1;failure;no
75~79;retired;married;unknown;no;yes;no;cellular;jul;wed;1~56;999;0;nonexistent;yes
75~79;retired;married;basic.4y;no;no;no;telephone;jul;thu;1~56;999;0;nonexistent;yes
75~79;retired;married;basic.4y;no;no;no;cellular;jul;mon;1~56;999;0;nonexistent;yes
75~79;retired;married;basic.4y;no;yes;no;cellular;jul;mon;1~56;999;1;failure;yes
75~79;retired;married;basic.4y;no;yes;no;cellular;jul;mon;1~56;13;2;success;yes
75~79;retired;married;basic.4y;no;unknown;unknown;cellular;jul;tue;1~56;3;1;success;yes
75~79;unknown;married;unknown;no;no;no;telephone;jul;thu;1~56;999;0;nonexistent;yes
75~79;retired;divorced;basic.4y;no;no;yes;cellular;jul;thu;1~56;6;2;success;yes
75~79;retired;divorced;professional.course;no;no;no;cellular;aug;mon;1~56;999;0;nonexistent;no
75~79;retired;married;basic.4y;no;no;no;cellular;aug;thu;1~56;9;4;failure;yes
75~79;management;married;unknown;no;yes;no;cellular;aug;fri;1~56;3;6;success;yes
75~79;retired;married;unknown;no;no;no;cellular;aug;wed;1~56;999;2;failure;no
75~79;retired;married;university.degree;no;yes;no;cellular;aug;thu;1~56;6;3;success;yes
75~79;retired;married;university.degree;no;no;no;cellular;aug;thu;1~56;999;1;failure;no
75~79;retired;divorced;basic.4y;no;no;no;cellular;aug;tue;1~56;999;1;failure;yes
75~79;retired;divorced;high.school;no;no;no;cellular;sep;thu;1~56;999;2;failure;no
75~79;retired;married;basic.4y;no;yes;no;cellular;sep;mon;1~56;999;2;failure;no
75~79;retired;divorced;basic.4y;no;yes;no;telephone;sep;thu;1~56;999;0;nonexistent;no
75~79;retired;married;basic.4y;no;yes;no;cellular;sep;thu;1~56;999;0;nonexistent;yes
75~79;retired;married;professional.course;no;yes;no;cellular;oct;thu;1~56;999;1;failure;yes
70~74;retired;married;university.degree;no;yes;no;cellular;mar;tue;1~56;999;1;failure;no
70~74;retired;divorced;basic.9y;no;no;no;cellular;mar;mon;1~56;999;0;nonexistent;no
70~74;retired;married;university.degree;no;yes;no;cellular;mar;fri;1~56;999;0;nonexistent;yes
70~74;retired;married;basic.4y;no;unknown;unknown;cellular;apr;tue;1~56;999;0;nonexistent;no
70~74;retired;married;basic.4y;no;no;no;telephone;apr;tue;1~56;999;0;nonexistent;no
70~74;retired;divorced;basic.4y;no;no;yes;cellular;apr;tue;1~56;999;0;nonexistent;yes
70~74;retired;married;basic.4y;no;no;no;telephone;apr;tue;1~56;999;0;nonexistent;no
70~74;retired;married;high.school;no;yes;no;cellular;apr;wed;1~56;999;0;nonexistent;no
70~74;retired;single;unknown;no;yes;no;cellular;apr;fri;1~56;999;0;nonexistent;yes
70~74;housemaid;divorced;basic.4y;no;no;no;cellular;apr;fri;1~56;999;0;nonexistent;no
70~74;retired;married;basic.4y;no;yes;no;cellular;apr;mon;1~56;6;1;success;no
70~74;retired;married;basic.4y;no;yes;yes;cellular;apr;mon;1~56;999;0;nonexistent;no
70~74;retired;married;university.degree;no;no;no;cellular;apr;mon;1~56;999;0;nonexistent;yes
70~74;retired;divorced;basic.4y;no;no;no;cellular;apr;mon;1~56;999;0;nonexistent;yes
70~74;retired;married;basic.4y;no;no;no;cellular;apr;tue;1~56;999;0;nonexistent;no
70~74;retired;married;basic.4y;no;no;no;cellular;apr;tue;1~56;999;1;failure;yes
70~74;retired;married;basic.4y;no;no;no;cellular;apr;tue;1~56;999;1;failure;yes
70~74;retired;married;university.degree;no;yes;yes;telephone;apr;mon;1~56;999;0;nonexistent;no
70~74;self-employed;married;university.degree;no;yes;no;cellular;apr;thu;1~56;5;1;success;no
70~74;retired;married;university.degree;no;yes;no;cellular;apr;thu;1~56;999;1;failure;no
70~74;retired;divorced;basic.4y;no;no;yes;cellular;apr;thu;1~56;999;1;failure;no
70~74;retired;divorced;basic.4y;no;yes;no;telephone;apr;thu;1~56;999;0;nonexistent;no
70~74;housemaid;married;unknown;no;yes;no;cellular;may;fri;1~56;999;1;failure;no
70~74;retired;divorced;basic.4y;no;yes;yes;cellular;may;fri;1~56;999;0;nonexistent;no
70~74;admin.;married;university.degree;no;yes;no;cellular;jun;mon;1~56;999;0;nonexistent;no
70~74;retired;married;basic.4y;no;yes;no;cellular;jun;mon;1~56;999;0;nonexistent;yes
70~74;retired;married;basic.4y;no;yes;yes;cellular;jul;fri;1~56;999;0;nonexistent;no
70~74;retired;divorced;university.degree;no;no;no;cellular;aug;tue;1~56;999;0;nonexistent;no
70~74;retired;divorced;university.degree;no;no;no;cellular;aug;tue;1~56;999;0;nonexistent;no
70~74;retired;married;high.school;no;no;no;cellular;aug;thu;1~56;999;0;nonexistent;no
70~74;retired;married;high.school;no;no;no;cellular;aug;thu;1~56;999;0;nonexistent;no
70~74;retired;married;high.school;no;yes;no;cellular;aug;thu;1~56;999;1;failure;yes
70~74;retired;married;high.school;no;no;no;cellular;aug;thu;1~56;999;0;nonexistent;no
70~74;retired;married;basic.4y;no;no;yes;cellular;aug;fri;1~56;999;0;nonexistent;yes
70~74;retired;married;basic.4y;no;no;no;cellular;aug;fri;1~56;999;0;nonexistent;yes
70~74;retired;married;basic.9y;no;no;no;cellular;aug;fri;1~56;15;1;success;no
70~74;retired;married;basic.4y;no;yes;no;cellular;aug;fri;1~56;999;0;nonexistent;no
70~74;retired;married;basic.4y;no;yes;yes;cellular;aug;fri;1~56;999;0;nonexistent;no
70~74;retired;married;university.degree;no;yes;no;cellular;aug;wed;1~56;999;1;failure;yes
70~74;retired;married;professional.course;no;no;no;cellular;aug;wed;1~56;999;0;nonexistent;no
70~74;retired;married;basic.4y;no;no;no;cellular;aug;thu;1~56;999;1;failure;no
70~74;retired;married;professional.course;no;yes;no;cellular;aug;thu;1~56;999;1;failure;yes
70~74;retired;married;professional.course;no;yes;no;cellular;aug;thu;1~56;999;0;nonexistent;no
70~74;retired;divorced;basic.4y;no;yes;yes;cellular;aug;thu;1~56;999;1;failure;no
70~74;retired;married;basic.4y;no;yes;no;cellular;aug;fri;1~56;999;0;nonexistent;yes
70~74;retired;divorced;basic.4y;no;no;no;cellular;aug;mon;1~56;999;0;nonexistent;no
70~74;retired;married;basic.4y;no;no;no;cellular;aug;mon;1~56;999;0;nonexistent;yes
70~74;retired;married;basic.9y;no;yes;no;cellular;aug;mon;1~56;999;1;failure;yes
70~74;retired;married;basic.4y;unknown;unknown;unknown;cellular;aug;tue;1~56;999;0;nonexistent;yes
