weight,ph,avg
Cluster: 0, Atts.Values: 79.000000,372.000000,505.000000
Cluster: 0, Atts.Values: 539.000000,85.000000,83.000000
Cluster: 0, Atts.Values: 359.000000,46.000000,712.000000
Cluster: 0, Atts.Values: 427.000000,37.000000,508.000000
Cluster: 0, Atts.Values: 178.000000,207.000000,727.000000
Cluster: 0, Atts.Values: 232.000000,1.000000,145.000000
Cluster: 0, Atts.Values: 535.000000,59.000000,464.000000
Cluster: 0, Atts.Values: 170.000000,206.000000,901.000000
Cluster: 0, Atts.Values: 400.000000,36.000000,320.000000
Cluster: 0, Atts.Values: 292.000000,159.000000,385.000000
Cluster: 0, Atts.Values: 120.000000,139.000000,367.000000
Cluster: 0, Atts.Values: 354.000000,177.000000,645.000000
Cluster: 0, Atts.Values: 297.000000,229.000000,679.000000
Cluster: 0, Atts.Values: 90.000000,347.000000,404.000000
Cluster: 0, Atts.Values: 114.000000,9.000000,148.000000
Cluster: 0, Atts.Values: 590.000000,37.000000,247.000000
Cluster: 0, Atts.Values: 100.000000,365.000000,523.000000
Cluster: 0, Atts.Values: 108.000000,280.000000,647.000000
Cluster: 0, Atts.Values: 318.000000,156.000000,923.000000
Cluster: 0, Atts.Values: 321.000000,167.000000,242.000000
Cluster: 0, Atts.Values: 32.000000,245.000000,422.000000
Cluster: 0, Atts.Values: 194.000000,274.000000,585.000000
Cluster: 0, Atts.Values: 74.000000,361.000000,269.000000
Cluster: 0, Atts.Values: 483.000000,140.000000,80.000000
Cluster: 0, Atts.Values: 258.000000,217.000000,270.000000
Cluster: 0, Atts.Values: 34.000000,368.000000,518.000000
Cluster: 0, Atts.Values: 94.000000,354.000000,721.000000
Cluster: 0, Atts.Values: 364.000000,154.000000,638.000000
Cluster: 0, Atts.Values: 233.000000,33.000000,850.000000
Cluster: 0, Atts.Values: 28.000000,353.000000,397.000000
Cluster: 0, Atts.Values: 286.000000,55.000000,922.000000
Cluster: 0, Atts.Values: 18.000000,112.000000,601.000000
Cluster: 0, Atts.Values: 378.000000,140.000000,48.000000
Cluster: 0, Atts.Values: 138.000000,353.000000,426.000000
Cluster: 0, Atts.Values: 194.000000,245.000000,630.000000
Cluster: 0, Atts.Values: 3.000000,38.000000,320.000000
Cluster: 0, Atts.Values: 44.000000,211.000000,471.000000
Cluster: 0, Atts.Values: 469.000000,91.000000,610.000000
Cluster: 0, Atts.Values: 288.000000,21.000000,233.000000
Cluster: 0, Atts.Values: 16.000000,99.000000,322.000000
Cluster: 0, Atts.Values: 99.000000,275.000000,700.000000
Cluster: 0, Atts.Values: 226.000000,260.000000,359.000000
Cluster: 0, Atts.Values: 178.000000,222.000000,817.000000
Cluster: 0, Atts.Values: 534.000000,9.000000,696.000000
Cluster: 0, Atts.Values: 181.000000,102.000000,821.000000
Cluster: 0, Atts.Values: 236.000000,311.000000,13.000000
Cluster: 0, Atts.Values: 527.000000,81.000000,562.000000
Cluster: 0, Atts.Values: 457.000000,42.000000,679.000000
Cluster: 0, Atts.Values: 540.000000,70.000000,797.000000
Cluster: 0, Atts.Values: 138.000000,81.000000,801.000000
Cluster: 0, Atts.Values: 281.000000,219.000000,747.000000
Cluster: 0, Atts.Values: 322.000000,41.000000,450.000000
Cluster: 0, Atts.Values: 118.000000,270.000000,286.000000
Cluster: 0, Atts.Values: 44.000000,165.000000,109.000000
Cluster: 0, Atts.Values: 116.000000,139.000000,972.000000
Cluster: 0, Atts.Values: 422.000000,65.000000,991.000000
Cluster: 0, Atts.Values: 626.000000,14.000000,231.000000
Cluster: 0, Atts.Values: 108.000000,138.000000,53.000000
Cluster: 0, Atts.Values: 182.000000,397.000000,540.000000
Cluster: 0, Atts.Values: 340.000000,319.000000,231.000000
Cluster: 0, Atts.Values: 314.000000,288.000000,37.000000
Cluster: 0, Atts.Values: 51.000000,451.000000,365.000000
Cluster: 0, Atts.Values: 284.000000,335.000000,254.000000
Cluster: 0, Atts.Values: 163.000000,372.000000,313.000000
Cluster: 0, Atts.Values: 133.000000,372.000000,583.000000
Cluster: 0, Atts.Values: 285.000000,283.000000,154.000000
Cluster: 0, Atts.Values: 208.000000,323.000000,313.000000
Cluster: 0, Atts.Values: 298.000000,376.000000,203.000000
Cluster: 0, Atts.Values: 348.000000,251.000000,285.000000
Cluster: 0, Atts.Values: 250.000000,456.000000,406.000000
Cluster: 0, Atts.Values: 311.000000,299.000000,516.000000
Cluster: 0, Atts.Values: 318.000000,232.000000,754.000000
Cluster: 0, Atts.Values: 302.000000,279.000000,809.000000
Cluster: 0, Atts.Values: 312.000000,373.000000,460.000000
Cluster: 0, Atts.Values: 298.000000,428.000000,421.000000
Cluster: 0, Atts.Values: 94.000000,354.000000,721.000000
Cluster: 0, Atts.Values: 217.000000,420.000000,603.000000
Cluster: 1, Atts.Values: 238.000000,717.000000,631.000000
Cluster: 1, Atts.Values: 213.000000,975.000000,470.000000
Cluster: 1, Atts.Values: 150.000000,590.000000,886.000000
Cluster: 1, Atts.Values: 146.000000,865.000000,866.000000
Cluster: 1, Atts.Values: 352.000000,661.000000,808.000000
Cluster: 1, Atts.Values: 51.000000,474.000000,894.000000
Cluster: 1, Atts.Values: 395.000000,925.000000,814.000000
Cluster: 1, Atts.Values: 146.000000,559.000000,810.000000
Cluster: 1, Atts.Values: 74.000000,546.000000,986.000000
Cluster: 1, Atts.Values: 394.000000,622.000000,466.000000
Cluster: 1, Atts.Values: 297.000000,688.000000,398.000000
Cluster: 1, Atts.Values: 36.000000,515.000000,910.000000
Cluster: 1, Atts.Values: 164.000000,629.000000,629.000000
Cluster: 1, Atts.Values: 246.000000,820.000000,870.000000
Cluster: 1, Atts.Values: 83.000000,585.000000,949.000000
Cluster: 1, Atts.Values: 110.000000,585.000000,641.000000
Cluster: 1, Atts.Values: 258.000000,558.000000,700.000000
Cluster: 1, Atts.Values: 74.000000,903.000000,733.000000
Cluster: 1, Atts.Values: 504.000000,670.000000,946.000000
Cluster: 1, Atts.Values: 356.000000,519.000000,724.000000
Cluster: 1, Atts.Values: 155.000000,493.000000,701.000000
Cluster: 1, Atts.Values: 320.000000,873.000000,707.000000
Cluster: 1, Atts.Values: 188.000000,499.000000,479.000000
Cluster: 1, Atts.Values: 139.000000,775.000000,826.000000
Cluster: 1, Atts.Values: 11.000000,693.000000,654.000000
Cluster: 1, Atts.Values: 157.000000,974.000000,720.000000
Cluster: 1, Atts.Values: 329.000000,612.000000,399.000000
Cluster: 1, Atts.Values: 53.000000,429.000000,870.000000
Cluster: 1, Atts.Values: 56.000000,919.000000,795.000000
Cluster: 1, Atts.Values: 254.000000,889.000000,744.000000
Cluster: 1, Atts.Values: 431.000000,743.000000,678.000000
Cluster: 1, Atts.Values: 251.000000,747.000000,607.000000
Cluster: 1, Atts.Values: 41.000000,519.000000,562.000000
Cluster: 1, Atts.Values: 294.000000,881.000000,562.000000
Cluster: 1, Atts.Values: 322.000000,836.000000,555.000000
Cluster: 1, Atts.Values: 306.000000,549.000000,724.000000
Cluster: 1, Atts.Values: 30.000000,644.000000,452.000000
Cluster: 1, Atts.Values: 371.000000,833.000000,774.000000
Cluster: 1, Atts.Values: 76.000000,485.000000,974.000000
Cluster: 1, Atts.Values: 519.000000,819.000000,945.000000
Cluster: 1, Atts.Values: 105.000000,634.000000,431.000000
Cluster: 1, Atts.Values: 209.000000,980.000000,669.000000
Cluster: 1, Atts.Values: 333.000000,638.000000,853.000000
Cluster: 1, Atts.Values: 186.000000,518.000000,963.000000
Cluster: 1, Atts.Values: 454.000000,871.000000,845.000000
Cluster: 1, Atts.Values: 317.000000,660.000000,952.000000
Cluster: 1, Atts.Values: 345.000000,877.000000,738.000000
Cluster: 1, Atts.Values: 4.000000,953.000000,987.000000
Cluster: 1, Atts.Values: 333.000000,543.000000,510.000000
Cluster: 1, Atts.Values: 96.000000,910.000000,622.000000
Cluster: 1, Atts.Values: 454.000000,912.000000,875.000000
Cluster: 1, Atts.Values: 284.000000,507.000000,625.000000
Cluster: 1, Atts.Values: 9.000000,998.000000,780.000000
Cluster: 1, Atts.Values: 187.000000,732.000000,503.000000
Cluster: 1, Atts.Values: 20.000000,839.000000,574.000000
Cluster: 1, Atts.Values: 293.000000,532.000000,497.000000
Cluster: 1, Atts.Values: 126.000000,497.000000,458.000000
Cluster: 1, Atts.Values: 6.000000,691.000000,958.000000
Cluster: 1, Atts.Values: 56.000000,955.000000,454.000000
Cluster: 1, Atts.Values: 167.000000,600.000000,710.000000
Cluster: 1, Atts.Values: 251.000000,645.000000,731.000000
Cluster: 1, Atts.Values: 210.000000,550.000000,647.000000
Cluster: 1, Atts.Values: 310.000000,496.000000,829.000000
Cluster: 1, Atts.Values: 261.000000,781.000000,452.000000
Cluster: 1, Atts.Values: 17.000000,630.000000,335.000000
Cluster: 1, Atts.Values: 166.000000,823.000000,540.000000
Cluster: 1, Atts.Values: 326.000000,898.000000,755.000000
Cluster: 1, Atts.Values: 362.000000,613.000000,610.000000
Cluster: 1, Atts.Values: 242.000000,644.000000,636.000000
Cluster: 1, Atts.Values: 272.000000,583.000000,816.000000
Cluster: 1, Atts.Values: 455.000000,528.000000,847.000000
Cluster: 1, Atts.Values: 328.000000,738.000000,992.000000
Cluster: 1, Atts.Values: 136.000000,824.000000,536.000000
Cluster: 1, Atts.Values: 132.000000,577.000000,458.000000
Cluster: 1, Atts.Values: 437.000000,755.000000,948.000000
Cluster: 1, Atts.Values: 15.000000,522.000000,461.000000
Cluster: 1, Atts.Values: 90.000000,978.000000,660.000000
Cluster: 1, Atts.Values: 37.000000,731.000000,911.000000
Cluster: 1, Atts.Values: 298.000000,706.000000,617.000000
Cluster: 1, Atts.Values: 3.000000,639.000000,761.000000
Cluster: 1, Atts.Values: 210.000000,446.000000,810.000000
Cluster: 1, Atts.Values: 50.000000,722.000000,905.000000
Cluster: 1, Atts.Values: 159.000000,586.000000,802.000000
Cluster: 1, Atts.Values: 273.000000,881.000000,635.000000
Cluster: 1, Atts.Values: 493.000000,661.000000,741.000000
Cluster: 1, Atts.Values: 285.000000,572.000000,718.000000
Cluster: 1, Atts.Values: 483.000000,633.000000,738.000000
Cluster: 1, Atts.Values: 83.000000,778.000000,576.000000
Cluster: 1, Atts.Values: 416.000000,735.000000,677.000000
Cluster: 1, Atts.Values: 27.000000,832.000000,713.000000
Cluster: 1, Atts.Values: 167.000000,472.000000,694.000000
Cluster: 1, Atts.Values: 484.000000,582.000000,870.000000
Cluster: 1, Atts.Values: 435.000000,528.000000,781.000000
Cluster: 1, Atts.Values: 539.000000,718.000000,989.000000
Cluster: 1, Atts.Values: 30.000000,501.000000,471.000000
Cluster: 1, Atts.Values: 235.000000,860.000000,1000.000000
Cluster: 1, Atts.Values: 39.000000,480.000000,574.000000
Cluster: 1, Atts.Values: 188.000000,533.000000,839.000000
Cluster: 1, Atts.Values: 203.000000,926.000000,709.000000
Cluster: 1, Atts.Values: 240.000000,644.000000,802.000000
Cluster: 1, Atts.Values: 170.000000,582.000000,832.000000
Cluster: 1, Atts.Values: 229.000000,831.000000,439.000000
Cluster: 1, Atts.Values: 10.000000,945.000000,866.000000
Cluster: 1, Atts.Values: 28.000000,729.000000,905.000000
Cluster: 1, Atts.Values: 291.000000,472.000000,819.000000
Cluster: 1, Atts.Values: 37.000000,960.000000,488.000000
Cluster: 1, Atts.Values: 127.000000,480.000000,519.000000
Cluster: 1, Atts.Values: 101.000000,683.000000,983.000000
Cluster: 1, Atts.Values: 89.000000,945.000000,647.000000
Cluster: 1, Atts.Values: 119.000000,950.000000,791.000000
Cluster: 1, Atts.Values: 223.000000,574.000000,461.000000
Cluster: 1, Atts.Values: 183.000000,500.000000,669.000000
Cluster: 1, Atts.Values: 226.000000,555.000000,752.000000
Cluster: 1, Atts.Values: 20.000000,657.000000,336.000000
Cluster: 1, Atts.Values: 243.000000,738.000000,664.000000
Cluster: 1, Atts.Values: 228.000000,605.000000,379.000000
Cluster: 1, Atts.Values: 88.000000,534.000000,510.000000
Cluster: 1, Atts.Values: 492.000000,861.000000,911.000000
Cluster: 1, Atts.Values: 349.000000,671.000000,571.000000
Cluster: 1, Atts.Values: 27.000000,849.000000,902.000000
Cluster: 1, Atts.Values: 420.000000,821.000000,781.000000
Cluster: 1, Atts.Values: 310.000000,746.000000,497.000000
Cluster: 1, Atts.Values: 122.000000,858.000000,982.000000
Cluster: 1, Atts.Values: 83.000000,614.000000,344.000000
Cluster: 1, Atts.Values: 160.000000,555.000000,525.000000
Cluster: 1, Atts.Values: 436.000000,909.000000,864.000000
Cluster: 1, Atts.Values: 440.000000,487.000000,792.000000
Cluster: 1, Atts.Values: 240.000000,386.000000,818.000000
Cluster: 1, Atts.Values: 310.000000,352.000000,997.000000
Cluster: 1, Atts.Values: 480.000000,473.000000,889.000000
Cluster: 1, Atts.Values: 384.000000,458.000000,823.000000
Cluster: 1, Atts.Values: 94.000000,354.000000,721.000000
Cluster: 1, Atts.Values: 290.000000,397.000000,774.000000
Cluster: 1, Atts.Values: 217.000000,420.000000,603.000000
Cluster: 1, Atts.Values: 333.000000,543.000000,510.000000
Cluster: 1, Atts.Values: 371.000000,475.000000,680.000000
Cluster: 1, Atts.Values: 294.000000,881.000000,562.000000
Cluster: 1, Atts.Values: 56.000000,955.000000,454.000000
Cluster: 1, Atts.Values: 322.000000,836.000000,555.000000
Cluster: 1, Atts.Values: 394.000000,622.000000,466.000000
Cluster: 2, Atts.Values: 504.000000,865.000000,466.000000
Cluster: 2, Atts.Values: 582.000000,772.000000,518.000000
Cluster: 2, Atts.Values: 380.000000,891.000000,455.000000
Cluster: 2, Atts.Values: 537.000000,800.000000,548.000000
Cluster: 2, Atts.Values: 443.000000,926.000000,765.000000
Cluster: 2, Atts.Values: 514.000000,703.000000,392.000000
Cluster: 2, Atts.Values: 561.000000,975.000000,112.000000
Cluster: 2, Atts.Values: 602.000000,939.000000,934.000000
Cluster: 2, Atts.Values: 580.000000,888.000000,265.000000
Cluster: 2, Atts.Values: 573.000000,857.000000,307.000000
Cluster: 2, Atts.Values: 473.000000,816.000000,561.000000
Cluster: 2, Atts.Values: 460.000000,813.000000,528.000000
Cluster: 2, Atts.Values: 340.000000,927.000000,476.000000
Cluster: 2, Atts.Values: 447.000000,984.000000,458.000000
Cluster: 2, Atts.Values: 603.000000,888.000000,662.000000
Cluster: 2, Atts.Values: 466.000000,761.000000,275.000000
Cluster: 2, Atts.Values: 590.000000,811.000000,667.000000
Cluster: 2, Atts.Values: 639.000000,720.000000,649.000000
Cluster: 2, Atts.Values: 477.000000,989.000000,453.000000
Cluster: 2, Atts.Values: 747.000000,990.000000,655.000000
Cluster: 2, Atts.Values: 550.000000,950.000000,868.000000
Cluster: 2, Atts.Values: 747.000000,993.000000,653.000000
Cluster: 2, Atts.Values: 477.000000,705.000000,276.000000
Cluster: 2, Atts.Values: 776.000000,995.000000,184.000000
Cluster: 2, Atts.Values: 743.000000,958.000000,447.000000
Cluster: 2, Atts.Values: 679.000000,835.000000,305.000000
Cluster: 2, Atts.Values: 385.000000,990.000000,657.000000
Cluster: 2, Atts.Values: 409.000000,912.000000,224.000000
Cluster: 2, Atts.Values: 550.000000,617.000000,505.000000
Cluster: 2, Atts.Values: 467.000000,764.000000,378.000000
Cluster: 2, Atts.Values: 692.000000,975.000000,341.000000
Cluster: 2, Atts.Values: 585.000000,986.000000,694.000000
Cluster: 2, Atts.Values: 499.000000,740.000000,622.000000
Cluster: 2, Atts.Values: 408.000000,995.000000,604.000000
Cluster: 2, Atts.Values: 691.000000,976.000000,575.000000
Cluster: 2, Atts.Values: 370.000000,959.000000,689.000000
Cluster: 2, Atts.Values: 549.000000,640.000000,388.000000
Cluster: 2, Atts.Values: 683.000000,966.000000,521.000000
Cluster: 2, Atts.Values: 413.000000,928.000000,668.000000
Cluster: 2, Atts.Values: 440.000000,725.000000,378.000000
Cluster: 2, Atts.Values: 691.000000,840.000000,487.000000
Cluster: 2, Atts.Values: 747.000000,789.000000,433.000000
Cluster: 2, Atts.Values: 753.000000,965.000000,418.000000
Cluster: 2, Atts.Values: 346.000000,907.000000,228.000000
Cluster: 2, Atts.Values: 682.000000,771.000000,353.000000
Cluster: 2, Atts.Values: 593.000000,804.000000,533.000000
Cluster: 2, Atts.Values: 441.000000,983.000000,246.000000
Cluster: 2, Atts.Values: 491.000000,980.000000,514.000000
Cluster: 2, Atts.Values: 665.000000,702.000000,445.000000
Cluster: 2, Atts.Values: 286.000000,716.000000,274.000000
Cluster: 2, Atts.Values: 568.000000,884.000000,518.000000
Cluster: 2, Atts.Values: 454.000000,965.000000,242.000000
Cluster: 2, Atts.Values: 807.000000,846.000000,508.000000
Cluster: 2, Atts.Values: 605.000000,947.000000,132.000000
Cluster: 2, Atts.Values: 595.000000,910.000000,476.000000
Cluster: 2, Atts.Values: 478.000000,841.000000,664.000000
Cluster: 2, Atts.Values: 662.000000,858.000000,670.000000
Cluster: 2, Atts.Values: 420.000000,770.000000,198.000000
Cluster: 2, Atts.Values: 472.000000,855.000000,548.000000
Cluster: 2, Atts.Values: 663.000000,997.000000,774.000000
Cluster: 2, Atts.Values: 525.000000,968.000000,431.000000
Cluster: 2, Atts.Values: 313.000000,968.000000,416.000000
Cluster: 2, Atts.Values: 635.000000,597.000000,533.000000
Cluster: 2, Atts.Values: 485.000000,743.000000,325.000000
Cluster: 2, Atts.Values: 648.000000,867.000000,788.000000
Cluster: 2, Atts.Values: 489.000000,816.000000,276.000000
Cluster: 2, Atts.Values: 617.000000,745.000000,722.000000
Cluster: 2, Atts.Values: 360.000000,975.000000,583.000000
Cluster: 2, Atts.Values: 595.000000,854.000000,338.000000
Cluster: 2, Atts.Values: 422.000000,886.000000,492.000000
Cluster: 2, Atts.Values: 609.000000,730.000000,328.000000
Cluster: 2, Atts.Values: 458.000000,622.000000,472.000000
Cluster: 2, Atts.Values: 938.000000,983.000000,385.000000
Cluster: 2, Atts.Values: 680.000000,889.000000,676.000000
Cluster: 2, Atts.Values: 443.000000,958.000000,379.000000
Cluster: 2, Atts.Values: 564.000000,682.000000,488.000000
Cluster: 2, Atts.Values: 566.000000,899.000000,782.000000
Cluster: 2, Atts.Values: 666.000000,981.000000,778.000000
Cluster: 2, Atts.Values: 808.000000,883.000000,298.000000
Cluster: 2, Atts.Values: 213.000000,975.000000,470.000000
Cluster: 2, Atts.Values: 394.000000,622.000000,466.000000
Cluster: 2, Atts.Values: 749.000000,949.000000,171.000000
Cluster: 2, Atts.Values: 322.000000,836.000000,555.000000
Cluster: 2, Atts.Values: 576.000000,939.000000,82.000000
Cluster: 2, Atts.Values: 746.000000,904.000000,227.000000
Cluster: 2, Atts.Values: 294.000000,881.000000,562.000000
Cluster: 2, Atts.Values: 666.000000,981.000000,778.000000
Cluster: 2, Atts.Values: 662.000000,858.000000,670.000000
Cluster: 2, Atts.Values: 680.000000,889.000000,676.000000
Cluster: 2, Atts.Values: 605.000000,947.000000,132.000000
Cluster: 2, Atts.Values: 975.000000,936.000000,378.000000
Cluster: 2, Atts.Values: 701.000000,971.000000,151.000000
Cluster: 2, Atts.Values: 807.000000,846.000000,508.000000
Cluster: 2, Atts.Values: 892.000000,868.000000,442.000000
Cluster: 2, Atts.Values: 888.000000,839.000000,417.000000
Cluster: 2, Atts.Values: 746.000000,904.000000,227.000000
Cluster: 2, Atts.Values: 749.000000,949.000000,171.000000
Cluster: 3, Atts.Values: 903.000000,142.000000,847.000000
Cluster: 3, Atts.Values: 969.000000,288.000000,987.000000
Cluster: 3, Atts.Values: 879.000000,88.000000,395.000000
Cluster: 3, Atts.Values: 844.000000,194.000000,761.000000
Cluster: 3, Atts.Values: 825.000000,70.000000,614.000000
Cluster: 3, Atts.Values: 821.000000,234.000000,991.000000
Cluster: 3, Atts.Values: 711.000000,178.000000,855.000000
Cluster: 3, Atts.Values: 741.000000,214.000000,704.000000
Cluster: 3, Atts.Values: 862.000000,316.000000,982.000000
Cluster: 3, Atts.Values: 848.000000,123.000000,415.000000
Cluster: 3, Atts.Values: 630.000000,99.000000,830.000000
Cluster: 3, Atts.Values: 620.000000,111.000000,730.000000
Cluster: 3, Atts.Values: 984.000000,3.000000,697.000000
Cluster: 3, Atts.Values: 790.000000,239.000000,667.000000
Cluster: 3, Atts.Values: 562.000000,145.000000,871.000000
Cluster: 3, Atts.Values: 624.000000,25.000000,847.000000
Cluster: 3, Atts.Values: 753.000000,355.000000,748.000000
Cluster: 3, Atts.Values: 843.000000,137.000000,808.000000
Cluster: 3, Atts.Values: 732.000000,60.000000,831.000000
Cluster: 3, Atts.Values: 615.000000,216.000000,871.000000
Cluster: 3, Atts.Values: 473.000000,8.000000,995.000000
Cluster: 3, Atts.Values: 655.000000,75.000000,942.000000
Cluster: 3, Atts.Values: 469.000000,207.000000,972.000000
Cluster: 3, Atts.Values: 949.000000,134.000000,753.000000
Cluster: 3, Atts.Values: 884.000000,120.000000,389.000000
Cluster: 3, Atts.Values: 856.000000,309.000000,791.000000
Cluster: 3, Atts.Values: 987.000000,253.000000,622.000000
Cluster: 3, Atts.Values: 914.000000,159.000000,992.000000
Cluster: 3, Atts.Values: 720.000000,270.000000,933.000000
Cluster: 3, Atts.Values: 671.000000,228.000000,727.000000
Cluster: 3, Atts.Values: 972.000000,119.000000,670.000000
Cluster: 3, Atts.Values: 941.000000,77.000000,710.000000
Cluster: 3, Atts.Values: 595.000000,37.000000,745.000000
Cluster: 3, Atts.Values: 814.000000,101.000000,649.000000
Cluster: 3, Atts.Values: 717.000000,185.000000,784.000000
Cluster: 3, Atts.Values: 650.000000,68.000000,857.000000
Cluster: 3, Atts.Values: 636.000000,14.000000,996.000000
Cluster: 3, Atts.Values: 992.000000,211.000000,833.000000
Cluster: 3, Atts.Values: 860.000000,312.000000,922.000000
Cluster: 3, Atts.Values: 588.000000,433.000000,982.000000
Cluster: 3, Atts.Values: 914.000000,322.000000,780.000000
Cluster: 3, Atts.Values: 889.000000,123.000000,424.000000
Cluster: 3, Atts.Values: 679.000000,373.000000,871.000000
Cluster: 3, Atts.Values: 871.000000,192.000000,635.000000
Cluster: 3, Atts.Values: 974.000000,156.000000,682.000000
Cluster: 3, Atts.Values: 636.000000,95.000000,796.000000
Cluster: 3, Atts.Values: 655.000000,11.000000,625.000000
Cluster: 3, Atts.Values: 777.000000,106.000000,622.000000
Cluster: 3, Atts.Values: 482.000000,118.000000,906.000000
Cluster: 3, Atts.Values: 705.000000,169.000000,676.000000
Cluster: 3, Atts.Values: 962.000000,133.000000,754.000000
Cluster: 3, Atts.Values: 858.000000,166.000000,603.000000
Cluster: 3, Atts.Values: 583.000000,299.000000,943.000000
Cluster: 3, Atts.Values: 791.000000,68.000000,595.000000
Cluster: 3, Atts.Values: 967.000000,125.000000,560.000000
Cluster: 3, Atts.Values: 909.000000,15.000000,428.000000
Cluster: 3, Atts.Values: 717.000000,285.000000,773.000000
Cluster: 3, Atts.Values: 981.000000,35.000000,867.000000
Cluster: 3, Atts.Values: 674.000000,92.000000,950.000000
Cluster: 3, Atts.Values: 875.000000,152.000000,925.000000
Cluster: 3, Atts.Values: 824.000000,59.000000,395.000000
Cluster: 3, Atts.Values: 920.000000,317.000000,714.000000
Cluster: 3, Atts.Values: 734.000000,319.000000,687.000000
Cluster: 3, Atts.Values: 616.000000,146.000000,728.000000
Cluster: 3, Atts.Values: 509.000000,347.000000,887.000000
Cluster: 3, Atts.Values: 403.000000,45.000000,954.000000
Cluster: 3, Atts.Values: 780.000000,158.000000,439.000000
Cluster: 3, Atts.Values: 625.000000,334.000000,764.000000
Cluster: 3, Atts.Values: 566.000000,165.000000,717.000000
Cluster: 3, Atts.Values: 626.000000,175.000000,725.000000
Cluster: 3, Atts.Values: 810.000000,363.000000,563.000000
Cluster: 3, Atts.Values: 848.000000,372.000000,541.000000
Cluster: 3, Atts.Values: 582.000000,63.000000,612.000000
Cluster: 3, Atts.Values: 749.000000,20.000000,463.000000
Cluster: 3, Atts.Values: 847.000000,364.000000,508.000000
Cluster: 3, Atts.Values: 711.000000,353.000000,650.000000
Cluster: 3, Atts.Values: 641.000000,331.000000,682.000000
Cluster: 3, Atts.Values: 372.000000,182.000000,944.000000
Cluster: 3, Atts.Values: 756.000000,414.000000,750.000000
Cluster: 3, Atts.Values: 705.000000,28.000000,503.000000
Cluster: 3, Atts.Values: 534.000000,9.000000,696.000000
Cluster: 3, Atts.Values: 540.000000,70.000000,797.000000
Cluster: 3, Atts.Values: 417.000000,276.000000,926.000000
Cluster: 3, Atts.Values: 422.000000,65.000000,991.000000
Cluster: 3, Atts.Values: 369.000000,294.000000,987.000000
Cluster: 3, Atts.Values: 324.000000,115.000000,956.000000
Cluster: 3, Atts.Values: 470.000000,224.000000,818.000000
Cluster: 3, Atts.Values: 543.000000,231.000000,696.000000
Cluster: 3, Atts.Values: 474.000000,10.000000,678.000000
Cluster: 3, Atts.Values: 815.000000,422.000000,764.000000
Cluster: 3, Atts.Values: 544.000000,88.000000,652.000000
Cluster: 3, Atts.Values: 318.000000,156.000000,923.000000
Cluster: 3, Atts.Values: 857.000000,417.000000,742.000000
Cluster: 3, Atts.Values: 331.000000,225.000000,987.000000
