weight;ph;avg
698;676;38
369;944;698
238;191;624
489;541;479
74;687;783
6;213;692
16;504;662
973;584;900
346;168;20
13;382;113
231;100;256
26;132;830
563;926;379
113;141;773
675;96;932
829;733;788
403;341;105
640;125;978
131;912;998
223;283;503
532;342;184
629;825;906
526;994;564
637;639;842
906;12;177
434;428;857
613;477;345
358;443;657
635;637;530
882;564;798
475;406;458
938;607;20
527;137;142
288;609;238
347;588;816
519;940;476
772;551;689
88;223;718
589;956;812
139;993;48
749;4;659
729;948;695
799;830;707
889;997;869
708;554;391
341;408;231
483;821;63
824;472;932
335;449;997
488;799;33
262;761;677
695;282;611
805;954;557
76;816;657
766;105;746
921;795;655
260;223;566
233;17;265
161;4;918
640;91;850
782;124;253
7;421;210
586;141;614
31;472;133
554;525;387
208;406;825
57;121;575
855;870;74
767;512;17
541;418;421
559;874;597
20;905;290
220;229;844
24;543;175
906;215;839
335;895;644
531;491;550
96;229;636
120;927;71
841;165;655
410;958;433
509;392;156
467;608;184
283;527;903
548;741;753
991;590;155
941;318;88
761;443;509
456;956;884
960;323;349
127;452;463
66;313;615
301;21;357
279;274;207
240;843;677
178;455;767
824;898;916
884;121;848
334;208;961
408;359;73
311;763;33
363;493;155
814;313;756
451;760;413
917;371;937
849;763;869
296;697;388
188;778;645
933;261;580
957;415;714
608;88;859
610;377;514
558;604;629
105;943;867
614;740;645
960;140;104
496;651;259
24;892;709
152;881;87
926;242;437
342;191;903
763;585;831
323;948;523
992;28;609
362;620;428
390;723;977
118;159;490
695;327;123
374;361;205
857;494;334
815;411;523
904;77;644
742;294;949
537;477;149
170;485;348
203;569;928
688;708;502
3;213;840
208;159;892
867;415;799
740;387;795
497;921;945
722;224;859
414;677;61
212;665;69
569;509;317
49;626;407
249;931;40
787;199;653
993;479;224
783;147;840
548;883;308
