id,age,zip_code,education
497,95,39849,
498,9,59397,Masters
499,36,63548,University Graduate
500,31,68729,
501,57,63785,Doctorate
502,9,46497,10th
503,5,44720,12th
504,24,38200,
505,1,68598,11th
506,88,34150,12th
507,55,58210,9th
508,96,67817,Masters
509,92,47351,7th-8th
510,24,61325,Preschool
511,44,46341,Doctorate
512,79,35516,5th-6th
513,30,68461,10th
514,46,45794,7th-8th
515,98,68159,
516,20,61339,11th
517,50,56010,1st-4th
518,95,37612,Preschool
519,71,34363,University Graduate
520,87,67871,
521,59,54768,7th-8th
522,73,68638,
523,53,62360,12th
524,57,38919,12th
525,77,63551,
526,78,51657,Doctorate
527,95,66005,12th
528,51,60993,9th
529,45,39373,5th-6th
530,87,44792,9th
531,87,30735,7th-8th
532,6,55767,Masters
533,43,65848,1st-4th
534,53,49928,12th
535,61,55762,
536,48,58229,9th
537,1,50221,11th
538,9,35903,10th
539,18,56997,12th
540,77,64529,1st-4th
541,86,54145,Doctorate
542,50,57113,10th
543,34,60270,11th
544,79,40466,5th-6th
545,67,52766,University Graduate
546,6,38580,7th-8th
547,69,31524,9th
548,10,54397,7th-8th
549,49,62586,5th-6th
550,2,32619,Preschool
551,20,55102,
552,62,43493,10th
553,5,61653,7th-8th
554,48,66873,University Graduate
555,40,37960,5th-6th
556,32,45712,10th
557,8,68697,11th
558,51,44625,12th
559,30,43783,11th
560,69,47043,5th-6th
561,52,53889,1st-4th
562,6,64833,9th
563,45,55801,
564,21,58195,9th
565,47,53593,Doctorate
566,72,69513,1st-4th
567,94,32376,Preschool
568,41,47490,Doctorate
569,24,59952,11th
570,23,43025,Masters
571,23,59234,5th-6th
572,54,36964,10th
573,80,48210,11th
574,37,39288,9th
575,68,68568,12th
576,60,62445,Masters
577,97,46519,5th-6th
578,22,43444,Preschool
579,86,48120,5th-6th
580,98,31286,10th
581,35,66472,
582,51,62216,12th
583,83,32168,University Graduate
584,39,57657,Preschool
585,19,36952,12th
586,87,61789,12th
587,14,59345,10th
588,82,52553,Masters
589,60,36063,
590,19,63744,Masters
591,83,46583,12th
592,84,38977,11th
593,73,38880,1st-4th
594,7,38794,University Graduate
595,45,55023,1st-4th
596,62,45993,Masters
597,59,57875,Masters
598,89,33453,12th
599,34,51708,University Graduate
600,45,50678,
601,63,43207,12th
602,61,53922,Doctorate
603,90,65822,7th-8th
604,89,47734,7th-8th
605,29,39602,University Graduate
606,86,35147,10th
607,43,56697,University Graduate
608,56,49001,10th
609,30,61153,11th
610,55,52510,University Graduate
611,11,68369,5th-6th
612,86,32196,5th-6th
613,9,40068,9th
614,97,59270,1st-4th
615,22,69784,Masters
616,99,41563,Preschool
617,83,52006,University Graduate
618,70,62206,11th
619,97,65668,University Graduate
620,79,39229,1st-4th
621,73,54809,10th
622,98,40980,7th-8th
623,14,55788,5th-6th
624,62,56326,10th
625,99,62577,12th
626,94,69012,Preschool
627,38,46552,5th-6th
628,36,37867,10th
629,6,33781,1st-4th
630,79,53129,University Graduate
631,28,35323,Masters
632,47,67996,Masters
633,89,61799,9th
634,86,66879,5th-6th
635,6,55218,10th
636,72,57566,1st-4th
637,5,31764,
638,12,42736,7th-8th
639,19,60706,
640,60,51826,11th
641,52,37502,Masters
642,35,57297,5th-6th
643,30,56485,Masters
644,63,40457,11th
645,60,64563,5th-6th
646,89,35290,7th-8th
647,80,65547,11th
648,73,47416,Preschool
649,70,53181,5th-6th
650,81,58133,Preschool
651,89,41480,7th-8th
652,77,49711,1st-4th
653,51,50875,5th-6th
654,80,37048,9th
655,26,56832,5th-6th
656,69,31119,Masters
657,10,44711,Preschool
658,4,58940,1st-4th
659,6,56607,9th
660,89,62239,9th
661,42,56579,11th
662,7,44655,5th-6th
663,21,41173,12th
664,63,36507,10th
665,76,48596,Preschool
666,92,63048,
667,40,55918,1st-4th
668,39,35717,10th
669,35,58273,Masters
670,16,30821,University Graduate
671,61,46037,10th
672,66,33297,5th-6th
673,34,55318,7th-8th
674,77,33971,Doctorate
675,95,65176,5th-6th
676,20,58506,5th-6th
677,26,56644,7th-8th
678,14,67390,Masters
679,32,49753,7th-8th
680,90,52283,Preschool
681,31,58586,1st-4th
682,44,55479,12th
683,4,68026,1st-4th
684,39,48080,5th-6th
685,85,49940,Masters
686,99,69922,
687,94,58889,Masters
688,73,40163,10th
689,86,60994,12th
690,51,67307,9th
691,34,42499,Preschool
692,96,34047,9th
693,35,45000,Preschool
694,8,32214,University Graduate
695,85,40876,5th-6th
696,75,41640,Doctorate
697,90,51386,7th-8th
698,90,31130,1st-4th
699,90,30846,University Graduate
700,96,66612,9th
701,40,69977,Preschool
702,51,45829,9th
703,52,36815,7th-8th
704,52,47439,7th-8th
705,44,66079,Doctorate
706,70,45059,5th-6th
707,75,41872,11th
708,10,43399,5th-6th
709,2,52829,
710,47,50853,Preschool
711,64,50457,Doctorate
712,69,40917,9th
713,59,55056,11th
714,49,69064,12th
715,33,40525,Preschool
716,3,31249,
717,91,38277,Doctorate
718,24,39651,5th-6th
719,31,57313,12th
720,70,36191,7th-8th
721,49,56981,Preschool
722,87,45722,12th
723,11,37816,11th
724,53,50089,Masters
725,74,58052,12th
726,88,68013,10th
727,45,67360,11th
728,57,47971,1st-4th
729,59,32478,12th
730,33,31849,11th
731,21,38516,12th
732,10,54708,Masters
733,68,31564,9th
734,69,35977,9th
735,88,55013,10th
736,19,37223,Masters
737,54,59425,9th
738,51,58614,11th
739,17,41509,University Graduate
740,31,38611,Preschool
741,79,49586,University Graduate
742,21,39630,12th
743,85,36571,10th
744,13,64832,7th-8th
745,14,50623,Preschool
746,22,61844,Preschool
747,11,30788,11th
748,64,55858,
749,79,34849,University Graduate
750,77,61215,9th
751,98,59888,5th-6th
752,4,49779,Doctorate
753,66,46615,12th
754,42,64669,University Graduate
755,90,35910,7th-8th
756,81,53013,University Graduate
757,74,66158,9th
758,44,59758,1st-4th
759,96,55797,9th
760,54,35074,9th
761,62,62559,7th-8th
762,6,35611,9th
763,85,68641,University Graduate
764,52,61674,12th
765,92,33580,9th
766,39,34462,5th-6th
767,50,56311,
768,25,33973,11th
769,56,65585,
770,87,38022,University Graduate
771,22,38203,Masters
772,34,63014,11th
773,49,55336,9th
774,50,48719,5th-6th
775,21,63899,Masters
776,24,63696,10th
777,68,43045,5th-6th
778,19,40163,9th
779,30,69352,Preschool
780,77,62840,12th
781,25,41749,
782,47,49640,University Graduate
783,29,62926,Masters
784,46,34251,11th
785,66,32025,Preschool
786,17,56460,Preschool
787,65,57329,5th-6th
788,76,62869,5th-6th
789,63,54116,10th
790,52,43460,Doctorate
791,75,57738,Preschool
792,26,53089,Preschool
793,90,31168,Masters
794,88,48483,5th-6th
795,9,32843,5th-6th
796,51,40819,7th-8th
797,95,67691,5th-6th
798,22,54682,Doctorate
799,16,51913,7th-8th
800,54,68293,1st-4th
801,42,55286,Preschool
802,15,37104,University Graduate
803,78,48047,11th
804,27,66533,Masters
805,83,39590,10th
806,38,53033,12th
807,45,32121,5th-6th
808,53,54952,
809,40,47020,Doctorate
810,97,49026,University Graduate
811,51,39470,7th-8th
812,81,67752,University Graduate
813,68,41353,
814,84,46024,Preschool
815,89,58441,
816,91,64915,University Graduate
817,29,44561,Doctorate
818,52,37761,12th
819,59,46251,9th
820,69,44308,9th
821,77,51075,7th-8th
822,80,32592,9th
823,19,47214,1st-4th
824,37,51670,1st-4th
825,73,34918,Preschool
826,3,48330,University Graduate
827,74,46536,Doctorate
828,5,30224,12th
829,32,35885,1st-4th
830,33,60652,1st-4th
831,9,64161,10th
832,93,39122,5th-6th
833,92,42027,1st-4th
834,5,31082,University Graduate
835,36,62226,Doctorate
836,15,38051,Doctorate
837,75,59691,5th-6th
838,87,43773,Doctorate
839,70,54116,Masters
840,36,39241,Doctorate
841,74,69963,University Graduate
842,77,58139,Masters
843,74,55418,1st-4th
844,77,39254,Masters
845,62,60114,9th
846,4,53701,5th-6th
847,25,60807,7th-8th
848,71,57380,University Graduate
849,76,66601,1st-4th
850,62,35404,11th
851,6,48206,5th-6th
852,37,33873,10th
853,42,40701,University Graduate
854,75,61853,Preschool
855,65,61322,9th
856,74,54166,1st-4th
857,75,47723,Doctorate
858,26,46782,10th
859,20,56877,1st-4th
860,55,59390,5th-6th
861,43,48860,Masters
862,46,41933,University Graduate
863,6,54021,University Graduate
864,77,39587,1st-4th
865,2,55227,7th-8th
866,8,60557,Preschool
867,82,65227,University Graduate
868,94,68101,Masters
869,24,64748,5th-6th
870,36,61761,11th
871,41,48996,Preschool
872,11,32572,5th-6th
873,2,55294,University Graduate
874,43,56892,Preschool
875,40,41043,1st-4th
876,69,50712,9th
877,14,58395,5th-6th
878,48,34504,University Graduate
879,70,64804,1st-4th
880,73,62967,1st-4th
881,26,58226,9th
882,96,51521,Masters
883,35,62981,9th
884,48,62352,9th
885,97,48082,
886,84,59508,5th-6th
887,83,54919,12th
888,3,52578,7th-8th
889,59,66682,5th-6th
890,28,53274,Masters
891,71,51528,11th
892,26,61400,9th
893,20,30915,9th
894,86,51026,10th
895,48,65276,9th
896,83,32493,Doctorate
897,64,69824,Preschool
898,35,60338,5th-6th
899,21,59118,1st-4th
900,63,37451,12th
901,56,52782,7th-8th
902,92,47990,Preschool
903,33,37950,University Graduate
904,71,63579,7th-8th
905,28,38508,7th-8th
906,55,59343,5th-6th
907,59,54803,10th
908,51,43421,12th
909,17,50982,Masters
910,43,62285,5th-6th
911,24,47275,5th-6th
912,12,65822,
913,55,37380,
914,41,34681,5th-6th
915,14,38393,University Graduate
916,70,68039,1st-4th
917,45,37497,University Graduate
918,13,52705,10th
919,24,37237,
920,83,61242,
921,45,46673,5th-6th
922,9,39834,Doctorate
923,84,65540,Doctorate
924,32,43879,1st-4th
925,90,69017,10th
926,50,41885,University Graduate
927,14,45927,11th
928,46,34885,11th
929,45,31981,10th
930,85,48570,7th-8th
931,63,54849,University Graduate
932,49,36648,5th-6th
933,34,31089,Masters
934,10,49099,Masters
935,95,37154,University Graduate
936,70,69923,1st-4th
937,58,53374,9th
938,35,59163,12th
939,58,40269,
940,97,46510,11th
941,10,47426,9th
942,37,44183,1st-4th
943,87,65092,5th-6th
944,79,63179,9th
945,5,45866,Doctorate
946,61,47611,7th-8th
947,59,48705,
948,95,58593,
949,50,59865,5th-6th
950,47,68264,12th
951,76,43146,University Graduate
952,68,39145,Doctorate
953,78,60346,Masters
954,7,46202,Doctorate
955,64,42164,5th-6th
956,14,56649,5th-6th
957,98,30532,University Graduate
958,13,44168,5th-6th
959,46,38042,11th
960,82,63359,1st-4th
961,87,54234,12th
962,66,64813,10th
963,21,58830,10th
964,37,65845,7th-8th
965,1,51393,
966,27,59671,12th
967,29,62802,11th
968,36,44110,9th
969,90,46896,University Graduate
970,67,45814,Masters
971,33,46087,University Graduate
972,85,56197,5th-6th
973,66,54849,Doctorate
974,94,61352,9th
975,48,41125,12th
976,4,58643,Doctorate
977,65,43186,7th-8th
978,9,59024,Doctorate
979,83,52026,11th
980,7,54824,9th
981,78,48003,7th-8th
982,94,68204,Doctorate
983,39,41032,10th
984,83,32844,9th
985,32,39753,Doctorate
986,5,35031,9th
987,75,47775,7th-8th
988,70,62246,
989,63,31534,Doctorate
990,96,65088,5th-6th
991,97,62265,5th-6th
992,44,46358,Preschool
993,69,57202,Doctorate
994,68,47042,Doctorate
995,99,53937,Doctorate
996,64,65046,11th
997,86,40421,7th-8th
998,97,60015,11th
999,20,32802,11th
1000,20,48598,Doctorate
