id,age,zip_code,education
111,23,42760,9th
112,1,57444,12th
113,56,47120,10th
114,56,61771,University Graduate
115,32,54875,Preschool
116,9,40754,10th
117,26,37919,5th-6th
118,12,41596,Doctorate
119,26,49444,University Graduate
120,37,41748,11th
121,50,49196,5th-6th
122,38,49978,1st-4th
123,22,32703,
124,74,39009,10th
125,21,45998,10th
126,45,42670,11th
127,55,46473,11th
128,54,31243,
129,19,62741,5th-6th
130,49,41212,Masters
131,16,42161,11th
132,94,67127,Preschool
133,86,30003,Preschool
134,87,48280,1st-4th
135,19,32657,1st-4th
136,58,66433,1st-4th
137,48,62341,Preschool
138,3,54592,1st-4th
139,82,56845,12th
140,45,38309,Masters
141,51,34534,Preschool
142,59,62175,7th-8th
143,86,48623,
144,37,67232,University Graduate
145,49,68111,5th-6th
146,7,62246,Preschool
147,90,56975,Preschool
148,51,45633,10th
149,49,62145,7th-8th
150,88,49572,Preschool
151,63,39087,10th
152,84,31234,Preschool
153,65,66073,7th-8th
154,17,37064,12th
155,6,49670,
156,83,46629,
157,52,57929,Preschool
158,35,63076,1st-4th
159,62,30650,7th-8th
160,80,39814,Doctorate
161,57,31948,5th-6th
162,63,66981,Doctorate
163,4,41251,9th
164,12,67358,5th-6th
165,76,36955,9th
166,32,67387,
167,73,61502,9th
168,77,66128,9th
169,93,52896,5th-6th
170,34,55820,University Graduate
171,11,48860,Masters
172,31,33650,5th-6th
173,35,43280,12th
174,18,35765,Doctorate
175,62,38170,7th-8th
176,87,44143,
177,21,38026,10th
178,95,42952,Masters
179,85,48236,Preschool
180,22,53702,9th
181,97,48677,Preschool
182,3,34785,1st-4th
183,98,64175,1st-4th
184,16,50422,7th-8th
185,38,37213,10th
186,85,38774,12th
187,21,49367,10th
188,31,36345,5th-6th
189,17,62018,Doctorate
190,68,66472,1st-4th
191,65,51094,
192,49,46726,7th-8th
193,16,51391,10th
194,82,30936,5th-6th
195,54,31420,1st-4th
196,26,33508,11th
197,23,60930,1st-4th
198,51,37460,10th
199,65,52156,7th-8th
200,16,66091,
201,9,40043,
202,13,45228,1st-4th
203,93,31486,9th
204,30,66661,University Graduate
205,10,31096,10th
206,11,34363,1st-4th
207,88,41084,
208,27,45998,10th
209,77,51411,1st-4th
210,72,42317,10th
211,33,50214,11th
212,49,61032,Masters
213,46,67673,
214,89,48269,
215,64,53603,Doctorate
216,60,58558,Doctorate
217,92,66617,10th
218,83,64796,Preschool
219,52,64914,
220,50,69566,7th-8th
221,1,38121,University Graduate
222,47,35500,11th
223,85,49310,11th
224,36,31778,7th-8th
225,72,69878,
226,67,63681,1st-4th
227,9,52418,Masters
228,78,35435,1st-4th
229,59,60997,Preschool
230,48,61608,12th
231,65,62926,11th
232,90,39554,Doctorate
233,99,68467,11th
234,84,52958,Preschool
235,69,35102,5th-6th
236,90,59000,7th-8th
237,67,50076,University Graduate
238,22,33580,11th
239,21,63922,12th
240,86,45943,12th
241,79,69892,University Graduate
242,79,44350,10th
243,32,59664,Doctorate
244,94,53529,5th-6th
245,83,45796,9th
246,56,32064,Doctorate
247,47,51167,Preschool
248,8,35108,Doctorate
249,95,47110,
250,79,43228,5th-6th
251,48,69929,1st-4th
252,55,64541,University Graduate
253,7,62630,Doctorate
254,35,46631,Preschool
255,90,63825,5th-6th
256,34,54188,Masters
257,96,34313,1st-4th
258,59,53374,11th
259,37,58450,University Graduate
260,96,40162,11th
261,86,63395,Doctorate
262,53,44831,5th-6th
263,70,49645,12th
264,41,59123,Preschool
265,88,39824,University Graduate
266,41,50882,University Graduate
267,65,67810,7th-8th
268,27,67940,10th
269,91,38057,Preschool
270,40,46510,Preschool
271,14,62899,
272,37,48997,5th-6th
273,96,48430,Doctorate
274,85,49408,1st-4th
275,15,56217,Masters
276,87,35530,
277,74,33302,9th
278,86,49797,7th-8th
279,19,50375,9th
280,88,38869,
281,53,44573,Preschool
282,44,48349,12th
283,84,50772,7th-8th
284,82,67862,5th-6th
285,3,31757,1st-4th
286,19,63878,7th-8th
287,94,63915,9th
288,35,49706,Doctorate
289,77,47628,9th
290,31,61197,10th
291,63,66147,9th
292,18,48658,5th-6th
293,71,30742,9th
294,63,50489,7th-8th
295,65,43619,10th
296,22,60206,1st-4th
297,70,41339,Preschool
298,98,67561,
299,83,57299,Masters
300,73,46002,9th
301,13,45017,University Graduate
302,4,63061,Masters
303,83,31602,1st-4th
304,92,44524,Preschool
305,70,53013,Preschool
306,42,67628,7th-8th
307,49,34802,10th
308,44,60691,1st-4th
309,80,41043,University Graduate
310,74,66222,Masters
311,46,39354,University Graduate
312,46,34430,
313,95,69240,10th
314,84,53314,University Graduate
315,14,46665,University Graduate
316,58,44561,5th-6th
317,71,61985,Masters
318,29,39011,11th
319,70,40615,
320,75,36415,Masters
321,9,31948,Preschool
322,3,54439,12th
323,35,31191,1st-4th
324,67,64891,
325,7,47895,9th
326,71,35051,10th
327,77,42832,11th
328,77,42100,5th-6th
329,54,50972,University Graduate
330,86,47006,10th
331,50,67972,10th
332,87,46191,10th
333,89,63507,Masters
334,12,65358,Masters
335,70,64083,11th
336,53,40543,11th
337,94,54459,5th-6th
338,65,33046,University Graduate
339,62,63078,1st-4th
340,77,47242,University Graduate
341,48,38186,7th-8th
342,62,42689,Preschool
343,48,65899,1st-4th
344,42,40201,
345,13,41091,
346,38,44834,Masters
347,62,51419,
348,23,34406,9th
349,67,55431,5th-6th
350,92,46442,10th
351,45,42603,11th
352,64,37214,5th-6th
353,40,64063,10th
354,99,68546,University Graduate
355,53,69246,9th
356,21,51599,7th-8th
357,58,43182,Masters
358,92,33014,7th-8th
359,56,55918,Masters
360,96,68180,
361,92,51055,Masters
362,95,56360,1st-4th
363,31,57297,7th-8th
364,35,67052,11th
365,2,68039,9th
366,70,64358,12th
367,52,67310,Masters
368,61,58264,Doctorate
369,79,32222,University Graduate
370,41,63820,
371,50,61912,10th
372,27,35419,Masters
373,4,55810,11th
374,53,56382,
375,68,34206,12th
376,84,32586,1st-4th
377,54,69212,12th
378,21,32864,9th
379,8,64196,10th
380,28,59042,1st-4th
381,85,66281,Doctorate
382,62,68419,9th
383,52,46226,12th
384,48,47538,1st-4th
385,99,41422,Doctorate
386,72,52561,
387,9,52340,Doctorate
388,5,49422,7th-8th
389,44,30399,Masters
390,41,64834,10th
391,10,62461,Preschool
392,85,48124,Masters
393,27,57994,Preschool
394,5,64485,10th
395,78,41359,5th-6th
396,69,44362,10th
397,34,35164,Preschool
398,3,50275,10th
399,92,44163,
400,92,45119,Preschool
401,81,56890,University Graduate
402,90,37250,Doctorate
403,52,66190,University Graduate
404,70,52194,10th
405,88,69981,Doctorate
406,94,57304,Masters
407,17,40310,10th
408,85,43154,12th
409,92,59926,9th
410,62,35705,Masters
411,55,67582,Masters
412,73,60766,10th
413,91,30009,12th
414,53,35566,Preschool
415,44,35643,
416,43,44743,7th-8th
417,23,68019,
418,83,51025,5th-6th
419,51,33729,11th
420,11,52432,12th
421,71,64524,9th
422,94,47160,10th
423,35,33185,10th
424,54,55142,
425,65,41440,9th
426,69,50778,9th
427,76,67201,7th-8th
428,65,40386,Preschool
429,73,53426,11th
430,76,68837,9th
431,69,48738,7th-8th
432,46,61779,12th
433,49,30572,University Graduate
434,75,32293,
435,37,39332,10th
436,25,55077,7th-8th
437,82,34410,Preschool
438,61,41921,5th-6th
439,37,59665,Preschool
440,85,57178,Doctorate
441,80,64397,Doctorate
442,60,32150,7th-8th
443,46,47740,
444,61,55157,5th-6th
445,76,43042,12th
446,98,35188,1st-4th
447,97,45438,11th
448,38,30635,11th
449,9,32435,9th
450,3,49453,12th
451,98,34552,5th-6th
452,13,68794,Doctorate
453,92,44357,Doctorate
454,96,37363,Preschool
455,2,66456,1st-4th
456,60,50267,1st-4th
457,91,54825,
458,8,67630,9th
459,55,68908,1st-4th
460,78,68494,University Graduate
461,58,35092,9th
462,3,40229,Masters
463,56,65433,5th-6th
464,48,35357,12th
465,82,47116,University Graduate
466,98,47670,7th-8th
467,46,67086,10th
468,97,68699,7th-8th
469,32,64120,11th
470,78,40255,
471,15,58565,University Graduate
472,47,41439,7th-8th
473,83,52705,Masters
474,5,43153,5th-6th
475,97,67664,12th
476,76,57806,9th
477,27,42019,9th
478,29,38691,Doctorate
479,92,59959,12th
480,59,43388,Doctorate
481,43,34515,1st-4th
482,70,53911,Doctorate
483,93,64641,Doctorate
484,37,65661,Masters
485,9,43653,5th-6th
486,18,51796,
487,10,41836,10th
488,27,52604,9th
489,66,68349,9th
490,65,39385,9th
491,85,32079,
492,19,69656,7th-8th
493,59,38832,5th-6th
494,37,58170,10th
495,46,55084,University Graduate
496,91,56241,Masters
497,83,52255,11th
498,98,59510,11th
499,9,32119,7th-8th
500,83,59593,Masters
