+id,age,zip_code,education
154,69,63342,5th-6th
155,39,43005,9th
156,37,39584,7th-8th
157,45,38643,Preschool
158,29,60099,University Graduate
159,37,69750,7th-8th
160,26,68500,
161,57,62367,Preschool
162,7,41372,University Graduate
163,3,34877,7th-8th
164,1,39884,Masters
165,66,50156,University Graduate
166,84,41611,5th-6th
167,15,39336,9th
168,17,58499,
169,34,40703,12th
170,68,61861,Doctorate
171,19,34727,10th
172,95,33722,5th-6th
173,91,68455,9th
174,85,31588,Doctorate
175,68,55076,Preschool
176,65,42254,Doctorate
177,26,42713,9th
178,76,56843,9th
179,6,62756,1st-4th
180,54,50258,7th-8th
181,56,32676,Doctorate
182,3,67140,
183,67,34748,University Graduate
184,5,43617,11th
185,32,64746,10th
186,33,39969,10th
187,92,60913,1st-4th
188,90,60101,1st-4th
189,73,39821,9th
190,45,53576,Preschool
191,80,36063,5th-6th
192,62,42797,5th-6th
193,18,64120,University Graduate
194,96,30174,Masters
195,91,65444,11th
196,29,53010,University Graduate
197,96,33447,1st-4th
198,85,54105,5th-6th
199,13,46583,1st-4th
200,39,64859,12th
201,47,32295,1st-4th
202,48,31727,5th-6th
203,82,45786,Doctorate
204,93,37894,7th-8th
205,62,38237,Preschool
206,65,56044,University Graduate
207,18,51459,12th
208,26,38021,5th-6th
209,50,40878,12th
210,56,50327,10th
211,99,48988,9th
212,82,56340,
213,42,39934,Doctorate
214,16,62739,
215,92,62229,7th-8th
216,38,41768,Preschool
217,18,49998,Preschool
218,47,36497,Doctorate
219,51,48775,12th
220,33,31440,Preschool
221,64,51116,11th
222,51,50919,5th-6th
223,23,35977,7th-8th
224,6,44246,Preschool
225,37,59110,12th
226,5,53458,7th-8th
227,26,63782,10th
228,54,60302,
229,95,40954,University Graduate
230,23,49600,Preschool
231,76,37464,Masters
232,46,52406,7th-8th
233,55,35233,11th
234,61,52307,9th
235,94,68327,Preschool
236,4,33346,11th
237,16,40647,12th
238,54,60586,
239,99,47087,Masters
240,91,69885,5th-6th
241,78,63077,Preschool
242,24,44987,Preschool
243,53,40131,9th
244,14,44780,11th
245,52,59461,10th
246,76,36076,12th
247,80,32635,Preschool
248,36,47713,12th
249,51,59111,Preschool
250,25,52744,
251,36,62931,University Graduate
252,56,51809,Preschool
253,79,37065,9th
254,76,54549,1st-4th
255,30,33237,1st-4th
256,39,44996,7th-8th
257,35,59885,12th
258,9,60115,7th-8th
259,26,67127,Doctorate
260,46,68294,12th
261,56,56262,10th
262,62,56130,12th
263,41,40540,University Graduate
264,52,66839,Masters
265,62,36736,
266,85,68961,5th-6th
267,67,38341,Masters
268,81,47371,9th
269,56,57808,10th
270,56,67465,Preschool
271,89,57489,10th
272,37,68847,Masters
273,87,39203,Doctorate
274,90,67872,10th
275,40,60480,10th
276,91,48283,5th-6th
277,38,60637,Doctorate
278,76,49195,1st-4th
279,25,50624,9th
280,95,38564,11th
281,59,69297,1st-4th
282,9,33474,9th
283,69,55730,Masters
284,70,59317,9th
285,44,51447,Doctorate
286,61,53427,Preschool
287,19,46981,1st-4th
288,86,31856,9th
289,39,56927,7th-8th
290,78,63432,
291,61,47828,Preschool
292,53,44961,10th
293,66,63362,7th-8th
294,27,50014,1st-4th
295,1,58276,Masters
296,93,32345,12th
297,42,65562,9th
298,61,43221,University Graduate
299,11,49702,9th
300,67,49748,10th
301,46,59143,11th
302,12,34995,Doctorate
303,47,59420,Preschool
304,8,64008,
305,58,69057,
306,62,53075,University Graduate
307,43,54771,1st-4th
308,41,42229,Doctorate
309,43,43793,7th-8th
310,10,32046,Preschool
311,81,47734,University Graduate
312,40,62651,7th-8th
313,24,68000,11th
314,40,57225,7th-8th
315,29,60451,Masters
316,97,34242,
317,10,60895,Masters
318,67,40197,
319,10,35732,10th
320,24,50078,5th-6th
321,77,57553,12th
322,42,64473,Preschool
323,11,55638,Preschool
324,74,44008,11th
325,85,32821,10th
326,84,54121,5th-6th
327,52,45468,9th
328,94,40244,Masters
329,53,44563,University Graduate
330,47,52935,5th-6th
331,80,57096,Preschool
332,31,35809,University Graduate
333,66,30851,1st-4th
334,90,34100,10th
335,22,65784,Masters
336,55,46768,5th-6th
337,5,32261,5th-6th
338,39,48172,Doctorate
339,14,43314,12th
340,62,44545,7th-8th
341,86,37185,11th
342,5,37752,Masters
343,97,69786,Preschool
344,70,39012,9th
345,7,67385,University Graduate
346,66,48224,5th-6th
347,53,66575,Preschool
348,4,66522,1st-4th
349,77,52982,Doctorate
350,2,41462,Preschool
351,48,42483,
352,20,54949,7th-8th
353,53,68382,University Graduate
354,36,49137,Preschool
355,12,61418,5th-6th
356,51,50803,10th
357,96,62366,12th
358,12,62463,11th
359,68,37589,9th
360,39,32668,5th-6th
361,25,64996,9th
362,73,34046,7th-8th
363,70,38679,10th
364,80,43676,12th
365,36,61315,Doctorate
366,30,37256,10th
367,86,58506,10th
368,38,32631,7th-8th
369,79,48437,5th-6th
370,84,32048,9th
371,43,68682,Doctorate
372,70,57323,12th
373,37,30079,7th-8th
374,92,40109,10th
375,87,53711,1st-4th
376,52,50297,1st-4th
377,60,38411,7th-8th
378,89,30014,12th
379,88,57064,12th
380,14,45179,10th
381,52,48368,University Graduate
382,5,53329,7th-8th
383,62,41720,12th
384,98,57089,12th
385,61,60186,7th-8th
386,81,52424,University Graduate
387,35,59023,7th-8th
388,43,41279,
389,57,45483,12th
390,56,67101,11th
391,51,62483,Preschool
392,98,47465,University Graduate
393,57,56942,9th
394,24,51600,12th
395,55,49833,5th-6th
396,8,43841,University Graduate
397,41,45076,10th
398,55,69363,Preschool
399,61,60712,Masters
400,64,39371,1st-4th
401,41,41461,Doctorate
402,11,47772,9th
403,49,44068,5th-6th
404,80,58003,University Graduate
405,96,50705,1st-4th
406,78,41497,University Graduate
407,93,35249,5th-6th
408,39,60449,1st-4th
409,96,58843,Doctorate
410,34,46506,11th
411,55,61495,5th-6th
412,66,55425,5th-6th
413,8,67074,12th
414,77,43597,12th
415,89,57198,11th
416,68,56402,Doctorate
417,96,57335,5th-6th
418,7,47750,11th
419,40,37023,12th
420,94,63456,10th
421,73,67442,12th
422,45,45095,Masters
423,45,66877,
424,91,67434,12th
425,1,31163,7th-8th
426,43,32949,11th
427,53,49800,Preschool
428,34,58525,5th-6th
429,81,61253,Preschool
430,32,43652,Masters
431,28,35205,7th-8th
432,53,43406,11th
433,1,57234,11th
434,13,64021,Doctorate
435,30,35378,1st-4th
436,22,46309,University Graduate
437,36,42251,11th
438,11,66593,9th
439,36,50784,10th
440,25,51319,12th
441,86,60526,5th-6th
442,49,39904,5th-6th
443,36,50162,University Graduate
444,59,36019,5th-6th
445,88,65373,9th
446,6,66331,9th
447,77,61596,9th
448,88,40482,9th
449,77,63192,12th
450,6,34617,12th
451,21,37822,10th
452,74,64486,7th-8th
453,81,44816,
454,9,42649,Masters
455,14,60518,12th
456,43,37717,University Graduate
457,36,46933,5th-6th
458,80,39380,5th-6th
459,88,61934,11th
460,75,42334,11th
461,44,50297,Masters
462,76,51500,
463,38,38937,1st-4th
464,82,51384,9th
465,18,44429,9th
466,42,30049,5th-6th
467,28,68559,12th
468,78,53872,11th
469,54,67892,7th-8th
470,80,45851,Preschool
471,52,36296,Doctorate
472,40,59228,University Graduate
473,2,33256,9th
474,33,57709,Masters
475,49,45268,10th
476,35,36160,University Graduate
477,70,56108,
478,80,59247,12th
479,58,64713,11th
480,39,43617,10th
481,77,69343,University Graduate
482,75,43774,1st-4th
483,51,59792,Doctorate
484,3,41814,University Graduate
485,68,60543,5th-6th
486,87,40106,11th
487,22,59120,11th
488,30,31195,
489,54,61578,10th
490,52,40444,10th
491,90,59067,5th-6th
492,88,51203,5th-6th
493,19,57334,10th
494,90,49574,12th
495,68,63271,12th
496,72,51766,
497,9,54468,
498,39,41438,10th
499,6,59340,7th-8th
500,52,57965,University Graduate
501,19,68612,
502,58,35680,7th-8th
503,69,30002,1st-4th
504,1,48267,10th
505,61,68228,7th-8th
506,63,69973,7th-8th
507,31,35106,10th
508,94,49011,9th
509,88,53010,
510,24,62072,
511,50,46054,Doctorate
512,94,37941,Doctorate
513,86,69952,11th
514,12,46423,11th
515,40,31607,7th-8th
516,20,66969,Masters
517,17,53690,
518,79,66933,9th
519,58,31568,12th
520,6,60653,
521,36,33863,12th
522,85,48799,1st-4th
523,78,32978,1st-4th
524,14,64221,Doctorate
525,41,49484,10th
526,62,41776,9th
527,79,58921,Masters
528,36,38865,University Graduate
529,63,32695,10th
530,74,69686,5th-6th
531,13,66983,11th
532,15,32564,5th-6th
533,11,69161,Preschool
534,23,46790,Masters
535,63,44699,12th
536,75,43006,5th-6th
537,91,49158,10th
538,79,62526,10th
539,46,58002,9th
540,76,39232,Masters
541,5,44217,9th
542,51,49502,Doctorate
543,89,37740,7th-8th
544,97,50546,10th
545,96,63358,11th
546,47,35396,Doctorate
547,13,66571,9th
548,9,66978,Preschool
549,17,66857,1st-4th
550,46,45196,Masters
551,77,54475,5th-6th
552,13,48823,Preschool
553,55,66394,1st-4th
554,2,36111,1st-4th
555,81,62710,5th-6th
556,11,67656,11th
557,17,34139,Preschool
558,67,45697,1st-4th
559,56,43674,7th-8th
560,54,32290,Masters
561,44,56485,7th-8th
562,17,45662,Preschool
563,42,36123,Doctorate
564,35,43972,11th
565,73,45105,Doctorate
566,17,63173,12th
567,71,45759,11th
568,55,48810,
569,83,54244,University Graduate
570,8,52537,Masters
571,28,58386,
572,93,33323,9th
573,96,50937,5th-6th
574,18,63513,
575,65,46595,12th
576,24,40574,Doctorate
577,55,66100,
578,5,69457,10th
579,79,42763,1st-4th
580,15,50701,9th
581,99,40310,Preschool
582,42,66774,Masters
583,94,36473,Preschool
584,29,47927,7th-8th
585,57,46363,7th-8th
586,50,63204,10th
587,20,32398,11th
588,64,62130,
589,42,68276,University Graduate
590,11,57984,Preschool
591,85,57046,University Graduate
592,75,69681,11th
593,1,31764,5th-6th
594,91,67977,11th
595,80,37521,
596,59,48104,1st-4th
597,92,49721,5th-6th
598,13,49203,10th
599,70,53851,5th-6th
600,66,48216,10th
601,6,39894,9th
602,28,33090,1st-4th
603,72,43850,University Graduate
604,19,37576,5th-6th
605,52,35786,Doctorate
606,50,44401,7th-8th
607,65,44781,
608,93,47054,9th
609,22,64465,12th
610,25,37156,5th-6th
611,89,41726,9th
612,80,55031,7th-8th
613,32,42417,Masters
614,38,42752,7th-8th
615,54,64189,7th-8th
616,24,63774,Doctorate
617,59,63581,5th-6th
618,41,49539,7th-8th
619,71,42189,1st-4th
620,13,43584,Preschool
621,50,49911,Doctorate
622,18,37129,7th-8th
623,61,53840,10th
624,99,59506,Preschool
625,7,47019,7th-8th
626,5,42524,10th
627,60,40722,5th-6th
628,11,61359,9th
629,28,60540,12th
630,89,37548,11th
631,49,66854,10th
632,14,33739,11th
633,11,56600,Doctorate
634,80,48417,Preschool
635,91,35883,Preschool
636,69,38370,University Graduate
637,18,43207,Doctorate
638,97,51387,
639,5,42802,7th-8th
640,10,31810,Doctorate
641,82,60929,10th
642,17,42903,University Graduate
643,90,56730,12th
644,6,53347,12th
645,49,47936,9th
646,23,61025,11th
647,83,65227,9th
648,91,35199,9th
649,76,38857,Masters
650,19,36901,University Graduate
651,29,68316,12th
652,77,58746,5th-6th
653,73,57587,7th-8th
654,86,39481,5th-6th
655,56,34265,1st-4th
656,73,34787,11th
657,66,34451,12th
658,82,50365,1st-4th
659,6,67270,7th-8th
660,37,55378,9th
661,41,49971,10th
662,96,35069,10th
663,70,51582,11th
664,73,54400,1st-4th
665,26,57820,Preschool
666,95,56620,Preschool
667,30,38957,
668,66,59642,Doctorate
669,57,30425,University Graduate
670,10,45514,5th-6th
671,36,33971,9th
672,28,34546,10th
673,85,64242,Doctorate
674,35,31584,University Graduate
675,91,62886,
676,33,69420,University Graduate
677,91,41797,Doctorate
678,92,63688,University Graduate
679,38,37242,11th
680,20,66637,
681,5,33143,
682,77,33305,7th-8th
683,42,48331,
684,66,51129,University Graduate
685,7,58077,1st-4th
686,96,36644,5th-6th
687,38,53894,12th
688,37,32373,12th
689,91,64880,7th-8th
690,2,37121,11th
691,52,52561,University Graduate
692,95,60880,10th
693,96,68207,5th-6th
694,40,46150,11th
695,67,68288,
696,6,64223,9th
697,88,47198,Preschool
698,54,51495,Doctorate
699,17,31767,
700,73,43726,5th-6th
701,71,51006,Doctorate
