weight;ph;avg;watercapacity;bacteria;solubleprotein
383;915;260;104;648;71
604;467;467;361;634;586
927;36;108;813;576;726
372;908;856;182;185;430
289;47;571;970;422;951
967;88;64;15;664;74
543;83;167;919;572;975
838;363;833;46;490;574
54;905;484;675;765;257
241;214;61;667;184;682
582;854;59;714;500;392
721;279;321;985;197;727
509;708;74;839;593;987
317;804;989;330;363;10
175;213;750;511;742;912
371;225;519;472;702;670
18;808;73;227;716;295
193;958;13;881;183;416
727;520;898;575;299;443
831;599;40;408;243;764
860;998;229;114;983;658
608;711;690;949;876;251
217;208;908;243;100;86
80;685;440;466;916;983
436;828;802;159;258;825
723;558;486;644;897;514
854;933;827;463;934;355
541;873;371;586;19;738
410;363;565;166;571;769
209;411;13;353;349;542
203;932;315;149;644;406
513;838;539;138;418;16
896;210;506;484;293;807
111;554;87;493;542;856
601;277;14;628;850;781
712;180;532;582;676;424
866;486;229;313;978;720
976;441;717;739;452;902
409;170;199;492;457;903
29;915;260;522;903;396
50;991;449;922;138;565
902;388;539;67;653;252
851;238;882;595;794;856
385;499;398;323;352;423
309;397;896;674;945;795
54;518;618;975;660;44
961;355;383;878;74;213
848;872;513;141;811;65
41;521;226;432;542;851
229;254;885;140;195;543
779;239;614;913;319;608
925;351;203;670;431;953
962;558;449;732;339;156
109;223;668;438;865;233
480;187;153;891;952;514
860;740;2;969;527;977
47;264;632;709;646;784
321;953;40;43;277;402
157;226;870;923;850;530
527;183;398;568;558;441
729;759;49;44;850;573
99;121;88;998;168;622
211;561;219;295;564;560
6;536;251;334;420;994
580;631;680;720;317;574
954;293;167;254;237;777
196;441;16;992;642;564
448;156;503;370;23;513
632;948;600;746;192;147
52;101;36;55;600;27
612;801;454;314;826;393
52;666;416;333;852;27
532;939;757;900;926;261
60;854;309;61;167;544
451;845;8;214;697;832
348;152;473;37;541;401
160;75;257;668;964;734
245;369;510;854;79;332
121;896;404;224;475;322
455;685;173;736;541;665
838;958;226;306;560;225
947;118;749;797;195;339
646;280;982;728;891;179
730;456;125;836;893;179
241;378;22;799;592;755
201;851;981;877;210;972
48;309;284;361;717;57
644;243;903;401;780;563
675;169;818;72;744;553
137;219;494;53;843;557
610;561;459;517;990;261
406;852;204;801;189;248
979;553;120;370;608;329
289;464;900;218;15;768
519;95;182;16;851;507
451;328;867;710;850;279
728;790;654;140;585;698
13;140;469;41;288;985
224;750;391;336;193;370
922;21;485;876;697;222
162;236;59;143;479;541
614;419;48;867;760;381
630;170;564;505;610;43
142;84;160;396;624;379
105;527;88;70;670;509
215;871;337;565;120;997
654;329;866;84;267;706
549;636;16;401;893;377
347;553;963;651;265;370
876;379;313;320;775;147
209;891;292;221;22;467
296;94;394;50;651;746
703;613;752;348;95;408
634;35;101;110;444;790
741;945;147;84;502;876
13;810;411;577;187;234
881;699;605;135;823;94
17;410;221;586;625;947
822;305;228;330;280;630
799;525;851;606;789;249
227;285;748;352;13;323
534;479;927;976;958;818
22;133;607;522;148;598
800;971;416;963;62;169
174;782;780;918;772;941
813;493;794;431;477;737
45;335;443;341;702;185
28;141;198;110;204;467
173;603;814;464;599;68
457;923;66;365;147;730
635;928;682;329;391;231
218;993;956;320;507;927
490;499;677;574;610;402
717;285;775;227;243;84
13;926;453;950;925;132
802;390;646;979;231;795
47;718;313;922;997;400
979;900;126;768;323;587
788;966;950;188;399;525
15;356;907;494;716;469
249;245;420;617;718;569
810;441;308;857;862;614
501;857;31;595;417;673
779;100;862;689;687;50
647;322;777;802;339;979
802;548;841;204;408;106
392;128;792;588;814;532
681;407;881;200;568;903
973;733;726;766;23;658
406;61;536;704;820;169
164;871;394;333;896;757
201;186;798;166;795;693
137;476;955;446;967;802
460;608;149;520;795;600
487;960;753;470;691;120
122;228;393;467;181;525
450;669;183;44;977;265
399;853;542;173;931;773
258;247;246;721;71;758
463;344;340;479;264;967
78;180;186;197;194;670
747;686;483;390;479;729
99;659;80;722;227;612
14;824;793;82;330;228
887;104;428;696;717;943
74;42;954;368;735;127
845;555;612;456;753;67
519;796;152;146;824;946
358;598;94;861;964;282
700;380;446;370;563;90
451;812;334;122;437;741
775;37;771;855;938;387
406;127;97;330;75;92
670;963;305;548;251;32
236;781;785;990;968;239
281;398;633;683;923;951
415;563;846;651;937;948
45;738;675;466;728;511
365;669;722;473;7;357
954;378;214;275;783;453
494;668;819;560;387;232
276;53;549;847;485;564
190;992;896;746;975;500
191;440;655;721;596;571
821;897;745;558;122;53
800;978;37;566;10;215
759;717;54;964;580;884
527;294;646;549;462;954
285;777;563;47;588;565
37;936;225;983;743;657
139;416;677;507;68;528
856;876;855;44;421;785
12;224;198;366;528;349
955;389;700;408;880;845
352;614;794;766;480;145
11;552;309;743;315;394
587;310;679;447;988;373
758;663;389;281;341;819
115;445;781;823;460;771
208;185;209;797;315;152
433;356;354;27;849;496
199;282;405;401;51;739
598;266;409;33;686;828
613;866;8;901;741;936
742;442;631;27;321;47
346;307;870;877;37;104
724;984;233;451;819;880
692;869;581;826;620;660
119;821;255;588;772;405
798;402;418;500;217;552
507;60;842;116;208;646
91;297;492;978;990;142
445;389;201;405;537;780
426;327;122;617;962;32
628;416;546;29;636;907
851;563;290;295;977;15
584;977;431;280;159;419
357;227;793;964;69;449
555;275;119;430;121;414
113;943;707;392;225;433
790;532;17;603;415;774
129;408;813;435;89;639
45;249;364;915;751;632
840;269;453;328;439;450
671;861;584;309;8;839
756;188;302;961;349;790
419;797;888;73;290;267
987;245;671;105;862;154
937;553;308;959;950;183
537;310;736;346;21;182
655;790;525;42;529;282
513;725;88;501;6;797
401;594;766;389;164;513
777;297;851;405;432;941
523;705;11;726;115;592
139;636;703;463;554;41
800;411;705;411;382;397
192;462;416;541;509;368
183;213;184;464;143;188
407;201;76;576;75;375
172;689;426;414;915;722
243;968;322;606;723;662
596;644;336;35;53;515
709;823;119;105;927;473
667;237;308;822;323;350
733;908;404;418;968;848
243;960;179;277;664;705
718;656;66;321;737;558
394;928;539;666;333;328
62;508;695;700;886;164
187;428;147;628;242;798
977;267;137;176;104;207
827;488;585;464;966;234
681;785;933;956;362;226
171;156;476;156;555;909
543;943;69;596;395;335
815;535;39;416;710;617
742;522;590;440;619;642
416;809;438;934;984;870
89;357;724;110;633;14
681;615;475;117;891;36
690;200;172;177;75;281
603;962;796;205;851;50
338;479;205;41;543;447
13;265;755;833;827;773
243;950;377;817;424;442
48;580;3;812;259;791
574;57;847;110;50;285
72;916;180;969;102;407
857;239;28;435;136;798
268;713;530;971;583;645
996;513;771;684;172;447
554;675;23;757;853;866
712;834;147;955;628;432
994;713;970;570;475;107
849;946;137;567;520;112
921;725;123;583;21;78
233;996;664;141;3;188
624;871;522;731;881;434
837;188;158;350;208;480
389;137;825;457;742;197
713;431;698;965;874;213
285;66;347;346;770;101
404;230;194;903;462;910
280;433;365;480;338;380
242;697;114;437;77;642
682;781;145;118;655;199
873;928;627;199;963;176
398;465;753;740;20;192
172;894;988;687;337;201
753;87;847;778;19;822
854;154;479;13;40;678
319;926;994;334;742;787
597;956;23;366;487;900
127;178;183;636;291;489
644;457;668;864;835;136
62;829;109;357;778;173
740;410;417;827;448;739
235;330;448;799;211;433
104;840;584;288;78;836
482;334;132;515;999;506
650;743;700;505;22;507
929;45;166;614;816;39
489;811;934;575;41;132
916;907;241;63;783;684
243;372;912;330;710;812
671;758;860;943;153;19
790;324;34;174;265;860
235;931;377;851;556;959
833;850;718;785;91;444
562;518;269;89;377;167
726;184;697;891;204;125
66;275;224;830;403;6
654;798;957;829;135;191
432;426;385;977;528;75
410;394;658;756;873;400
18;952;885;881;241;739
837;222;865;616;667;707
581;259;879;710;139;904
66;450;8;646;358;832
156;395;589;375;450;586
380;864;497;328;839;326
744;922;723;920;11;942
729;236;823;930;702;243
294;970;487;649;756;242
538;286;455;505;567;741
254;263;938;397;79;150
929;437;772;111;527;994
669;650;851;865;444;144
57;952;759;589;29;412
548;34;58;786;937;693
646;302;38;359;629;423
172;194;672;489;210;116
593;154;313;115;177;939
898;967;596;364;425;167
768;691;581;390;85;875
749;130;759;69;1;503
845;435;68;928;228;522
154;282;563;299;278;957
301;951;58;437;106;210
884;855;357;463;344;423
287;999;663;671;886;789
877;971;443;598;689;630
762;232;591;426;913;814
866;223;149;345;602;388
833;878;141;680;361;96
812;919;917;503;894;518
736;136;873;11;593;645
336;424;782;235;158;614
144;188;988;362;165;9
28;280;670;190;864;218
868;149;503;46;524;756
720;513;71;805;160;627
519;303;470;317;952;278
640;410;179;485;341;445
70;576;526;223;14;873
437;591;280;635;660;641
793;118;824;471;451;940
541;36;919;960;83;493
385;930;863;553;624;773
780;679;565;466;991;77
851;88;255;766;557;75
491;623;159;122;930;65
991;678;576;400;446;399
289;642;155;662;212;889
927;400;360;708;223;826
255;820;467;223;22;681
235;546;40;213;308;673
554;516;435;505;548;883
15;779;930;742;955;548
872;8;545;190;864;527
476;726;884;802;686;758
22;67;575;489;887;806
666;55;884;900;39;817
178;842;577;172;470;946
896;882;328;104;457;273
684;442;721;932;209;38
175;473;8;830;531;902
399;744;505;436;401;266
574;277;859;613;665;540
450;195;339;878;833;803
270;862;438;261;757;85
907;898;251;585;255;464
559;690;107;661;49;563
863;143;876;590;857;368
986;911;665;732;214;307
517;640;105;285;722;776
120;628;548;692;67;825
406;411;540;684;512;452
466;846;683;635;925;538
683;775;943;461;780;90
299;471;467;597;362;659
655;80;166;123;575;823
134;58;867;291;642;888
393;447;51;215;383;450
488;759;824;502;845;692
52;819;432;411;398;491
386;703;347;895;461;978
332;475;954;135;865;941
697;459;696;858;941;157
655;904;500;743;703;907
460;11;524;953;76;753
78;509;527;764;587;952
88;359;300;722;529;788
55;35;287;208;666;127
444;470;910;572;261;124
147;276;760;112;320;523
836;353;668;923;386;663
810;423;919;354;668;276
29;896;634;213;430;690
21;708;88;386;889;419
240;250;250;568;581;709
650;676;806;972;837;357
18;42;829;324;94;328
476;173;537;456;709;483
154;712;647;11;17;455
544;888;156;464;513;192
306;830;826;120;438;489
880;642;877;359;703;817
132;281;90;834;841;943
822;97;494;278;639;219
686;430;867;768;163;269
197;953;50;136;676;7
410;895;484;450;805;495
10;621;137;258;501;535
202;541;743;281;201;847
579;205;591;42;143;179
582;839;657;528;146;526
332;579;859;942;311;780
974;156;552;221;383;942
16;627;844;522;330;38
990;594;76;75;452;64
698;186;298;437;164;769
755;216;637;573;35;887
172;418;347;6;786;80
730;34;93;104;821;501
262;451;882;248;990;835
388;234;69;444;653;666
523;319;849;207;305;837
402;593;9;748;74;987
60;396;183;188;914;199
313;761;303;709;58;754
780;643;284;7;213;378
785;916;707;488;328;301
797;430;742;139;406;223
91;880;371;377;521;775
845;690;34;117;683;566
541;223;887;702;816;99
787;960;764;719;173;688
366;447;498;241;197;424
169;941;527;653;664;439
314;340;232;335;420;876
99;249;887;852;886;118
735;385;182;999;337;685
652;840;668;514;80;453
454;197;43;417;867;798
863;65;835;884;51;734
801;426;511;329;492;604
995;658;385;181;527;173
101;921;296;585;12;19
10;940;266;948;662;461
13;954;996;603;287;229
656;506;359;211;489;274
62;489;122;461;439;186
136;758;945;259;773;638
419;106;887;376;622;544
414;395;490;268;922;256
601;241;562;950;307;886
548;402;841;24;242;592
886;928;140;12;604;865
371;242;5;840;70;788
845;947;55;90;701;67
208;111;818;976;691;296
552;741;496;699;617;223
847;68;770;560;316;67
937;20;146;156;618;350
142;706;894;115;805;644
268;723;597;803;867;673
469;665;540;694;57;349
633;90;936;904;286;326
134;496;452;434;926;655
589;80;768;25;176;142
428;689;113;388;529;48
829;326;857;932;179;912
338;59;742;276;418;102
935;329;919;135;558;568
438;283;370;465;865;806
161;707;318;629;63;402
805;175;467;999;628;871
498;51;328;196;225;458
124;836;368;914;936;433
200;209;688;88;338;569
108;768;588;788;922;276
263;512;949;968;678;297
921;235;425;772;424;922
122;114;409;858;514;628
171;191;606;572;540;879
123;261;814;114;6;709
6;522;79;632;102;542
18;498;229;957;185;974
786;248;316;198;554;801
111;276;626;475;684;175
492;902;550;770;476;23
292;824;685;437;456;686
489;744;210;667;436;452
250;772;33;124;119;494
715;519;242;54;467;493
618;154;46;347;404;211
246;285;76;102;47;450
670;641;793;939;697;794
85;759;144;190;298;505
85;208;968;790;513;683
519;109;930;197;242;34
853;454;814;458;370;216
678;283;620;263;797;224
594;362;577;227;911;812
686;537;881;672;882;952
837;355;936;12;459;551
689;509;957;609;411;519
525;853;521;906;313;81
144;545;28;484;521;682
426;266;644;954;147;469
384;166;774;974;569;197
170;158;888;514;263;769
943;821;657;232;321;804
167;99;941;162;471;971
560;972;293;492;727;707
969;904;218;550;358;23
971;154;374;483;664;739
672;734;616;310;599;727
715;793;953;62;875;568
895;134;651;128;155;328
214;955;979;197;44;643
215;495;997;253;835;961
979;497;157;914;370;784
705;687;478;559;764;878
906;400;832;525;251;431
150;708;411;996;897;870
545;441;565;395;392;454
120;137;248;424;937;910
294;799;542;853;637;769
503;395;374;218;786;335
504;981;177;581;757;48
377;353;442;499;823;682
257;71;974;975;171;74
524;89;712;90;403;572
13;279;100;506;437;48
548;559;733;572;586;837
298;864;315;191;303;286
501;28;26;383;474;927
317;849;518;298;144;451
8;612;319;936;991;334
735;347;893;373;819;898
5;476;861;260;308;607
649;994;955;776;143;944
84;822;688;266;332;238
236;592;790;446;572;402
681;154;155;51;463;538
851;200;329;748;712;519
239;631;657;84;238;512
703;16;248;529;747;340
971;960;140;46;31;397
262;156;843;739;983;399
231;56;225;294;778;840
988;389;134;192;54;706
255;263;856;30;475;509
538;963;370;663;105;180
535;635;996;740;139;410
80;472;712;778;893;499
12;793;553;291;58;880
589;718;444;690;901;861
727;601;209;845;59;667
902;101;710;341;102;546
181;644;71;498;747;847
114;799;753;788;613;813
724;491;30;8;709;926
274;14;969;396;955;465
551;497;19;253;794;860
167;643;966;976;863;706
136;321;577;936;788;676
473;596;95;146;726;817
252;28;668;871;743;292
865;264;358;321;815;710
134;179;8;602;937;124
833;455;493;696;735;20
137;802;463;299;411;368
486;937;264;607;706;17
561;972;649;383;74;80
134;162;706;382;737;837
121;740;430;197;529;158
825;212;321;605;600;47
288;360;511;944;879;224
56;236;549;17;842;606
651;696;224;792;760;783
707;114;824;89;647;109
912;749;639;719;631;111
175;74;214;409;78;194
871;939;692;810;566;668
306;927;784;879;18;707
206;861;3;153;155;224
165;328;425;672;76;426
413;838;137;498;203;391
152;43;358;815;415;732
283;851;480;421;126;371
737;681;712;314;889;299
212;365;590;293;716;641
95;205;938;660;109;942
810;452;590;408;240;147
924;854;210;897;824;783
821;474;168;481;728;64
249;702;440;362;799;71
718;731;66;908;762;745
335;669;203;96;729;139
121;147;312;197;471;760
931;922;629;164;866;202
817;574;99;696;465;316
127;40;107;210;744;967
868;963;191;522;93;831
652;563;797;322;864;753
745;933;55;385;264;577
834;148;917;393;285;417
34;242;814;878;508;168
823;289;313;202;463;958
102;58;548;480;249;155
796;557;912;672;827;127
253;103;929;215;333;961
644;211;781;850;687;286
629;527;226;461;733;112
542;611;633;253;240;304
635;645;361;155;114;824
563;794;20;503;252;316
583;81;615;529;168;245
723;931;387;879;624;823
795;184;106;210;957;27
285;456;879;763;123;451
90;546;83;270;985;651
285;846;813;417;415;575
62;45;813;72;149;848
524;680;235;118;167;243
522;700;105;977;955;284
820;448;144;218;189;223
562;429;595;985;506;378
91;743;734;826;299;526
579;359;618;10;553;764
388;965;795;573;608;588
911;618;499;746;353;113
474;141;774;529;264;811
855;328;248;800;795;301
777;552;22;551;207;945
909;122;122;436;395;497
340;22;972;359;481;610
231;55;557;266;745;567
805;314;110;435;440;623
713;239;335;223;405;860
812;458;75;54;424;507
608;565;537;551;753;342
20;709;547;579;657;586
147;584;577;807;775;839
769;266;399;92;99;488
287;610;441;574;609;781
472;197;425;773;557;886
67;565;425;713;370;245
20;455;881;143;184;762
307;612;830;617;258;932
245;688;126;198;465;457
20;547;764;995;54;180
324;402;660;348;82;219
766;704;638;20;54;52
378;200;570;242;887;750
502;802;138;763;32;574
148;654;422;629;59;778
449;815;104;303;46;62
733;65;24;235;335;42
833;780;823;381;9;360
516;103;810;4;341;333
287;350;646;517;209;896
798;260;933;115;143;32
720;751;330;435;489;129
849;782;219;525;825;790
703;351;137;436;623;203
343;877;900;979;456;961
19;680;897;917;970;271
425;76;459;620;175;326
621;596;228;790;670;463
182;477;776;221;797;47
550;527;615;650;905;416
902;271;485;583;567;687
712;216;377;489;259;835
839;914;955;846;203;100
28;937;458;490;889;4
519;762;325;886;718;138
114;721;500;898;134;97
396;51;772;609;212;845
342;475;524;37;363;871
684;513;367;921;781;883
492;390;347;32;642;67
235;454;664;367;817;544
859;657;224;735;20;444
21;512;772;511;604;278
900;535;285;613;325;758
674;146;892;877;264;34
816;866;824;504;95;651
824;200;697;540;58;271
755;215;109;202;71;514
427;373;508;383;607;315
746;803;978;790;358;595
532;825;887;477;428;704
488;227;522;552;747;186
490;2;568;14;801;18
277;137;610;122;510;530
994;684;552;613;669;475
259;241;236;133;102;723
700;268;485;130;189;384
683;760;519;968;498;37
190;304;356;616;88;435
388;870;42;808;651;433
605;638;399;852;110;773
513;288;762;564;409;152
876;988;776;317;265;541
905;960;520;184;58;594
570;778;674;395;706;443
502;26;380;672;162;755
558;666;562;475;490;109
470;630;457;538;657;616
910;88;775;707;999;369
78;573;535;34;244;334
265;445;624;91;259;821
953;144;578;797;701;916
457;379;585;535;169;131
71;190;798;721;903;946
352;8;756;383;685;184
443;651;44;839;492;28
180;586;869;44;911;747
767;867;496;197;878;986
437;46;974;320;958;87
385;269;936;450;940;933
827;591;424;375;886;735
608;415;536;374;50;960
843;452;32;144;591;284
39;147;909;905;580;193
736;569;730;336;483;344
58;91;793;133;726;453
235;979;388;105;20;852
571;683;250;302;375;406
528;798;287;879;699;47
97;81;283;52;574;591
462;747;117;202;43;236
89;263;215;70;99;983
361;382;376;294;610;976
15;880;815;967;539;340
887;657;912;216;642;576
664;226;636;877;653;798
97;796;281;61;682;979
558;768;11;539;526;744
575;165;161;319;268;948
904;301;117;622;471;646
278;330;851;547;329;77
88;532;197;553;904;243
907;498;61;547;375;530
324;390;267;296;888;278
552;699;506;108;356;113
242;42;43;653;337;889
208;932;11;787;759;217
803;993;968;417;822;691
258;256;852;915;967;146
428;308;442;220;716;372
154;906;179;297;982;215
245;696;288;193;581;265
188;830;677;725;447;307
373;190;453;276;430;647
935;913;272;807;162;94
755;516;875;199;212;645
482;350;286;929;647;7
331;671;206;88;445;514
85;433;818;868;335;78
667;996;471;183;394;345
801;84;488;950;363;466
486;188;121;680;748;83
246;430;223;150;362;237
837;761;662;704;644;509
374;704;423;311;74;404
127;446;278;53;711;361
690;994;590;714;606;33
102;599;966;687;233;460
150;431;849;637;945;988
767;349;805;348;366;196
354;436;787;554;698;818
275;448;452;570;99;968
211;884;789;265;593;90
157;841;703;135;418;746
34;797;389;179;569;329
553;901;442;403;565;79
358;926;420;459;617;219
215;631;270;596;264;746
872;44;647;443;738;61
29;671;311;817;758;430
10;269;316;519;257;841
407;16;687;979;829;225
834;423;431;983;302;123
874;683;16;300;197;708
410;575;155;71;658;48
144;273;220;486;908;761
57;520;251;35;934;609
540;175;899;399;285;710
218;157;671;425;452;581
142;349;778;839;522;703
114;9;807;927;214;101
87;127;982;928;405;610
206;344;578;460;171;265
232;705;800;955;382;248
426;665;132;136;675;357
496;516;794;198;479;324
321;33;98;723;988;799
58;400;168;944;340;461
576;64;543;71;966;987
637;385;610;921;823;322
196;389;661;738;211;400
290;258;847;670;439;649
648;347;890;324;333;488
740;397;899;803;595;706
75;253;217;587;610;520
262;502;819;142;605;399
117;27;600;464;853;156
29;7;408;30;193;707
369;63;296;386;388;972
489;377;299;151;972;925
689;211;700;818;149;551
117;813;469;954;831;881
125;20;12;345;776;752
440;177;287;672;236;362
990;235;485;438;466;663
398;216;162;52;432;770
804;93;713;602;687;826
938;708;139;234;148;947
447;798;960;947;431;75
94;817;711;559;609;584
871;37;784;153;532;759
79;912;882;68;576;145
818;20;696;361;844;59
296;730;466;473;490;301
169;952;346;511;62;443
963;950;311;492;604;188
117;806;409;654;528;364
482;587;670;234;67;689
429;281;146;693;389;616
80;610;883;430;793;964
119;997;653;42;514;632
256;466;354;287;153;344
390;749;566;707;406;295
169;762;554;29;656;791
44;170;165;157;855;96
247;719;58;433;233;977
310;56;965;358;389;397
488;114;29;987;778;750
448;41;878;302;759;771
294;71;500;789;800;676
167;54;231;705;99;696
646;107;716;63;462;45
695;847;263;123;90;541
82;243;257;268;236;551
40;755;391;604;608;448
259;159;147;659;353;796
591;971;691;404;839;707
256;307;296;86;921;559
904;219;239;384;845;918
721;5;734;624;869;83
162;543;519;257;760;919
583;655;293;394;745;889
435;693;409;39;855;580
624;387;329;745;35;583
280;975;522;703;182;337
833;97;128;838;87;707
836;171;276;816;687;254
179;962;818;363;509;220
848;330;865;747;436;553
245;69;475;770;211;616
405;156;725;87;130;727
990;951;622;646;835;445
807;568;409;241;681;489
53;559;84;502;891;631
652;452;724;43;194;747
343;793;312;564;682;543
634;405;605;588;389;809
367;187;242;66;814;648
857;811;261;326;634;197
196;147;466;656;992;826
454;491;78;404;917;131
99;9;916;756;713;890
477;92;888;21;749;444
2;722;429;517;498;370
591;160;46;734;711;921
909;432;565;772;964;423
562;898;281;103;465;531
463;793;898;333;934;920
120;171;694;30;644;934
212;83;477;102;137;910
717;669;208;352;154;579
621;312;245;722;14;367
261;337;332;566;579;310
220;290;10;752;318;166
909;116;304;397;670;733
