weight;ph;avg;watercapacity;bacteria;solubleprotein
711;245;673;447;834;247
508;93;730;429;597;721
231;510;587;267;502;894
443;128;685;813;764;473
267;183;680;736;345;361
746;451;270;883;414;765
92;537;324;288;147;338
352;41;218;253;865;233
521;405;518;680;335;920
196;217;961;553;842;313
238;321;173;52;187;967
707;536;689;661;240;44
155;873;472;101;465;965
858;707;272;405;530;106
376;455;811;74;684;288
694;576;166;446;217;360
256;487;235;722;816;350
859;497;165;149;911;379
340;834;645;205;60;116
264;649;88;227;67;599
261;856;955;180;384;770
156;637;560;533;495;544
87;99;208;123;299;523
974;967;137;706;385;397
100;788;20;622;867;691
680;228;144;911;841;164
654;801;295;254;236;601
561;19;176;663;475;170
993;51;490;700;767;74
160;908;578;18;397;355
200;694;44;426;465;762
963;859;878;51;373;946
512;163;615;247;732;402
248;297;486;171;716;693
969;6;814;118;670;790
508;856;926;439;758;147
871;860;11;604;900;985
842;744;347;451;705;253
138;638;156;161;683;559
274;359;656;493;685;526
663;337;690;494;7;371
108;118;56;152;199;781
444;710;469;663;488;293
281;678;360;248;742;998
215;789;852;271;253;522
890;679;770;728;908;882
211;774;754;881;377;998
725;97;570;820;535;47
234;145;235;108;274;854
316;602;896;514;4;744
571;679;948;565;105;768
343;368;444;260;576;837
170;315;386;525;265;268
433;324;363;4;602;529
927;558;915;659;719;142
557;41;896;629;882;299
646;277;759;329;513;986
47;636;855;139;7;955
784;980;995;269;573;64
507;21;494;127;609;826
382;498;692;462;120;666
886;263;983;715;940;26
492;473;673;981;858;323
21;101;324;135;310;664
707;473;735;784;469;810
936;664;83;841;151;555
563;857;350;495;980;720
186;444;763;952;195;647
417;372;712;220;450;510
618;511;672;819;795;131
597;633;58;768;693;902
611;319;83;122;719;11
777;648;886;372;729;251
936;882;969;107;329;404
649;269;695;897;463;937
27;591;750;563;465;349
222;1;794;193;109;512
429;441;889;479;341;400
685;520;620;789;153;407
921;934;155;800;638;35
864;836;843;29;442;250
370;595;864;43;789;939
627;303;423;730;80;154
54;107;500;758;665;68
863;274;159;965;973;754
808;459;396;30;107;308
34;866;374;763;389;92
18;84;730;540;936;885
559;327;105;721;280;903
617;146;767;325;708;728
429;834;378;249;678;806
704;873;597;624;384;632
946;770;397;840;314;373
890;572;943;656;828;871
452;196;35;381;574;335
147;998;286;192;96;732
350;984;825;25;358;760
582;605;291;129;808;439
654;898;369;16;749;337
55;953;99;805;55;91
862;918;424;554;449;74
727;772;991;246;675;771
408;69;100;360;928;575
405;941;771;831;137;185
798;901;86;297;852;758
300;531;988;61;45;658
836;17;887;546;854;960
986;956;606;652;883;232
464;410;820;898;94;346
892;547;164;312;927;281
351;143;776;372;540;671
893;197;785;565;741;522
793;252;179;288;354;749
141;68;243;777;643;69
368;566;598;772;669;386
717;768;639;516;298;613
238;684;279;428;591;968
353;870;517;283;89;342
694;872;923;859;301;325
632;707;966;747;450;469
260;978;881;734;991;475
28;292;40;135;170;736
577;690;460;427;586;939
526;753;961;826;402;28
362;117;382;371;792;249
311;13;351;590;442;269
506;424;958;675;262;183
538;662;724;693;640;199
152;100;135;334;470;513
682;319;187;960;769;546
452;376;343;566;250;400
43;210;627;378;109;71
947;863;879;57;254;903
642;458;771;259;64;811
114;9;525;552;419;4
77;740;534;793;395;696
923;856;189;493;241;871
657;504;83;729;112;740
498;313;423;453;485;468
794;81;343;119;455;191
222;144;431;675;280;814
449;552;310;546;655;140
136;138;29;450;954;433
102;755;5;888;717;811
665;993;814;220;641;637
732;486;98;859;512;596
690;606;316;75;255;478
430;773;764;283;835;533
874;554;81;442;644;339
392;618;478;593;507;822
313;272;433;165;68;512
454;605;670;244;715;390
729;197;692;159;278;87
488;168;695;52;164;758
150;114;575;289;730;71
607;94;721;295;546;602
72;251;537;716;51;816
342;809;880;857;194;205
541;679;236;490;875;234
358;248;251;332;564;967
175;9;869;328;257;730
619;352;711;470;496;359
502;372;186;973;433;268
140;367;3;520;622;826
104;874;889;790;732;451
942;560;928;309;256;447
978;525;246;19;204;623
180;373;247;304;222;227
802;873;311;396;407;765
660;648;563;522;884;545
632;564;581;47;590;352
366;201;211;708;261;754
136;321;921;753;347;458
849;216;204;987;486;103
303;341;273;436;545;628
512;114;922;142;691;764
610;564;199;26;144;945
402;3;202;494;560;657
59;342;795;126;322;411
754;456;652;25;530;493
822;756;58;123;761;312
749;292;56;773;138;998
508;283;614;193;621;894
700;747;626;880;711;52
794;234;848;166;599;666
250;891;487;848;231;473
451;124;26;529;395;600
284;887;936;378;19;583
598;785;929;689;690;375
642;695;686;23;396;666
180;208;364;482;279;732
561;79;505;757;973;81
226;88;194;30;454;917
339;838;220;753;972;276
468;562;373;704;927;555
986;283;339;451;690;259
811;14;391;15;499;871
747;505;595;128;100;144
619;522;291;241;402;995
513;111;771;723;326;10
203;879;758;504;450;144
89;606;48;581;496;401
177;697;524;430;67;58
649;384;686;221;848;993
397;456;238;624;191;996
348;578;987;834;513;44
19;184;782;564;244;523
224;70;747;290;366;360
667;956;269;832;927;991
336;570;15;134;59;579
10;720;598;668;668;453
754;895;849;970;188;634
973;655;776;476;653;670
947;597;583;621;526;327
540;739;822;96;153;715
396;655;975;516;283;472
674;614;369;799;744;552
988;672;902;328;344;219
270;669;43;795;518;18
28;22;720;480;818;240
446;767;654;67;187;212
80;280;721;666;118;119
572;424;846;463;402;365
164;760;368;943;953;395
788;872;870;729;52;14
913;340;850;369;390;513
51;414;548;654;863;656
240;545;951;684;902;887
477;791;962;92;510;712
454;364;489;678;421;425
444;839;431;901;810;295
326;34;657;88;556;708
205;307;298;831;430;617
581;92;555;469;94;981
139;659;948;987;951;486
284;143;434;375;221;246
699;656;805;835;581;442
850;766;710;515;696;110
300;778;637;842;285;573
26;994;543;284;62;691
897;589;437;991;433;319
237;331;747;8;20;46
902;473;858;165;580;921
903;765;803;926;380;864
305;820;708;555;934;842
346;66;250;643;512;486
236;426;360;565;7;353
872;837;518;888;739;802
798;914;158;298;488;786
32;781;455;728;184;904
373;659;155;667;784;954
489;287;250;333;889;403
850;578;62;972;652;649
71;936;267;24;568;786
219;18;297;953;859;619
585;535;451;446;551;955
982;996;374;589;833;552
145;817;335;497;689;667
835;234;261;714;265;113
28;601;296;479;546;956
750;556;722;405;472;614
292;639;384;673;764;19
74;498;983;456;220;428
495;531;931;720;847;847
907;331;967;551;265;670
145;751;28;89;691;449
735;976;275;515;606;383
542;634;493;126;44;157
729;602;995;749;512;768
977;959;478;2;934;286
392;756;217;22;626;65
183;694;417;469;705;676
506;260;824;452;20;249
210;177;30;791;86;121
77;346;77;609;942;715
548;910;794;191;301;309
493;655;113;144;135;36
356;385;154;464;625;734
917;998;76;550;104;917
251;159;92;356;525;498
725;522;426;440;822;793
298;969;57;696;537;546
907;330;362;993;421;224
317;486;586;73;651;428
443;546;525;907;382;228
315;240;688;52;201;293
720;658;986;194;631;459
575;947;115;304;420;330
164;575;106;342;830;728
551;130;239;772;211;428
118;6;319;113;559;16
266;897;970;575;355;769
821;969;167;206;161;467
474;26;564;741;532;190
751;194;720;741;159;97
705;896;492;687;249;831
95;645;486;885;302;958
924;421;811;384;185;100
598;239;11;4;707;324
630;461;775;2;973;220
211;469;919;673;67;951
778;395;198;513;223;854
249;988;269;200;367;311
559;149;125;387;723;923
922;206;277;413;15;112
193;431;57;633;930;102
912;76;854;755;318;19
534;238;831;630;224;662
99;212;145;836;778;599
574;952;923;763;75;769
77;519;455;69;572;400
444;683;931;496;823;177
885;146;872;335;814;613
786;704;851;29;299;32
926;740;604;82;771;888
692;459;423;373;594;897
276;88;250;649;104;836
52;321;908;900;774;515
841;33;643;71;217;495
384;803;635;680;43;227
625;820;905;989;591;202
234;865;98;181;818;609
513;980;810;690;448;648
271;985;398;368;220;417
147;882;212;157;541;777
83;608;108;220;541;863
501;681;313;313;816;7
380;263;864;359;169;74
529;946;330;3;217;552
540;978;727;389;115;40
813;724;76;638;181;353
646;169;183;439;897;651
662;848;473;802;531;932
96;295;243;909;350;3
732;802;381;844;532;477
339;537;968;476;94;576
118;830;800;262;501;88
160;855;73;916;322;217
824;395;664;378;761;459
7;379;693;160;898;456
782;234;550;5;992;244
564;468;160;779;381;805
249;408;99;376;1;269
852;807;677;291;69;507
669;628;571;14;510;348
405;812;394;300;410;778
553;42;648;237;325;980
55;425;595;751;751;649
420;549;86;166;55;598
977;127;540;637;466;969
204;373;851;35;180;201
969;99;976;665;747;918
844;717;68;8;329;713
544;138;29;66;554;89
702;256;156;501;976;564
105;137;813;755;243;401
747;688;282;363;482;294
672;399;825;234;172;90
224;87;184;950;63;236
445;506;983;571;337;295
884;558;530;731;907;159
161;513;674;644;993;566
99;314;262;790;525;696
299;585;166;972;741;198
78;952;572;117;239;262
516;536;931;24;603;459
902;120;435;233;158;590
135;965;398;918;450;451
145;177;9;306;377;87
191;678;213;369;910;744
789;646;564;286;164;314
880;572;751;32;557;223
145;159;805;794;790;93
160;110;308;402;390;543
762;111;158;215;581;952
848;344;550;525;974;904
773;29;453;44;336;725
923;514;796;52;723;701
158;563;641;862;396;893
405;542;321;748;535;554
153;289;495;869;503;536
244;719;663;540;393;506
371;480;675;607;35;910
593;900;663;893;375;394
354;888;631;920;998;132
618;465;116;597;861;32
648;883;203;583;470;250
557;172;95;805;364;582
140;709;266;625;323;836
121;298;358;354;993;214
610;232;33;827;967;31
593;774;445;408;451;796
727;801;173;471;572;594
263;18;350;220;526;151
66;663;431;587;516;615
53;4;168;675;882;144
353;759;986;929;811;335
245;763;148;148;884;694
54;521;592;606;551;773
759;91;638;428;732;88
622;257;928;34;156;26
700;907;484;766;335;583
742;117;436;576;163;951
710;771;776;735;457;149
761;743;642;2;928;372
564;635;615;760;5;953
402;289;96;714;24;257
410;794;88;822;221;903
412;629;929;24;450;115
306;959;448;240;260;990
874;283;951;873;780;262
103;654;894;874;939;903
815;138;51;220;263;674
322;53;947;206;932;782
673;642;518;385;990;616
29;844;137;397;805;781
414;25;81;215;486;631
797;910;295;198;810;382
22;109;57;532;914;958
330;417;39;173;595;475
949;539;320;483;763;859
612;863;235;892;935;425
399;692;262;515;616;490
538;159;362;519;971;920
142;225;911;769;748;587
788;552;435;875;972;952
586;245;206;632;213;452
610;659;410;850;803;285
3;546;84;276;825;740
711;513;624;692;633;526
45;560;480;428;7;381
293;273;532;795;610;558
231;297;918;841;330;642
949;416;337;987;612;491
68;52;200;329;789;51
120;964;602;575;628;966
330;709;719;700;582;604
773;581;736;966;558;958
98;261;779;846;114;511
129;928;466;381;595;379
126;738;81;308;772;945
129;961;361;286;517;228
799;355;90;458;420;913
735;285;138;997;114;722
198;606;655;284;842;786
156;118;340;533;830;770
398;947;544;764;501;542
837;147;895;232;8;721
625;601;998;209;75;249
653;839;125;357;171;114
116;478;843;746;79;358
427;648;249;515;898;19
632;891;82;292;301;917
880;138;710;10;675;11
743;594;671;643;487;836
943;212;540;492;914;260
771;223;82;708;876;393
15;369;696;830;231;339
290;407;435;823;474;617
157;615;614;222;680;322
758;77;834;811;312;913
555;899;303;368;955;234
692;563;436;25;304;952
385;717;110;117;681;464
184;527;952;887;362;705
847;138;108;385;995;349
403;879;289;510;879;183
531;336;678;640;528;517
659;73;382;490;936;31
709;570;750;115;151;791
357;406;681;270;604;282
208;540;710;979;963;823
680;143;358;758;375;27
109;810;885;8;157;793
195;580;844;366;232;789
221;517;886;786;536;415
57;477;156;878;514;110
689;572;74;80;752;70
539;984;889;708;532;589
393;327;328;165;629;590
495;370;435;527;587;101
895;138;513;96;883;561
807;113;204;327;458;241
701;86;150;619;155;791
428;861;588;387;472;440
187;637;227;845;801;406
596;446;750;154;96;550
604;786;393;30;434;165
131;262;444;273;895;348
378;936;305;197;369;108
973;357;627;816;206;735
423;158;246;405;849;829
124;255;921;890;461;376
718;88;605;189;110;949
708;86;266;921;720;390
680;380;276;479;846;345
651;819;864;834;953;291
968;327;774;577;617;367
747;531;807;787;280;51
660;162;882;426;409;694
463;179;909;962;476;744
707;647;260;10;271;885
947;868;413;777;790;201
350;851;957;162;259;700
71;179;719;296;160;450
366;582;538;411;757;554
919;222;326;168;994;516
526;973;376;574;212;345
560;140;700;560;442;29
334;569;32;632;637;754
805;461;13;423;29;787
735;476;535;249;504;974
79;160;808;356;238;465
599;620;867;746;601;848
276;875;542;412;88;447
620;97;62;921;184;878
778;770;772;653;576;396
454;184;620;448;917;473
584;268;34;396;704;955
179;943;609;749;712;545
592;809;584;37;173;142
549;462;828;732;742;675
274;40;979;211;34;452
963;537;367;151;490;37
405;801;250;777;809;215
519;617;838;545;803;445
667;835;148;553;342;235
380;659;881;663;328;236
655;110;50;408;582;390
619;319;379;139;937;376
357;238;602;554;60;23
263;140;23;459;593;854
764;618;334;252;886;411
406;498;988;36;159;829
27;34;640;621;543;187
280;475;961;304;29;179
651;348;488;99;976;542
102;680;151;136;368;291
917;41;898;542;603;353
17;513;917;213;836;587
571;66;955;172;678;366
108;689;664;884;493;339
761;911;490;415;194;108
322;196;980;631;399;34
39;739;800;814;621;526
657;449;408;108;83;659
803;877;817;131;165;158
236;720;681;182;500;313
45;460;305;860;560;777
756;604;943;447;53;572
857;99;869;274;249;388
352;432;399;784;793;486
60;276;58;91;952;101
26;991;932;919;537;596
48;179;411;8;945;789
718;504;574;553;572;885
306;179;163;698;684;518
414;938;645;649;339;664
454;609;787;49;784;103
951;129;190;821;660;941
598;591;788;361;655;352
702;590;409;400;897;161
303;650;735;903;62;522
174;421;112;687;258;802
961;116;974;517;593;685
395;359;418;590;768;248
598;513;642;275;623;85
341;358;346;53;208;902
332;96;213;502;902;458
636;544;333;723;256;483
913;671;666;867;207;220
48;70;822;209;526;409
397;805;237;899;617;242
761;965;807;113;382;356
800;177;650;3;354;158
438;371;426;386;386;979
626;769;808;484;138;252
28;894;76;739;894;432
153;602;949;528;937;404
760;972;656;174;759;257
194;563;826;4;269;805
185;451;881;800;477;636
800;143;535;435;588;902
175;341;916;910;34;475
438;740;84;36;974;830
646;212;499;741;271;278
696;516;171;515;527;706
461;956;613;183;311;43
430;214;417;17;269;364
206;652;849;794;483;656
17;686;116;643;68;890
726;633;590;385;840;268
506;505;797;92;621;538
170;669;691;413;75;67
128;815;250;288;569;706
377;703;753;223;136;258
85;445;261;189;255;693
205;645;860;646;572;928
166;428;127;884;320;327
865;690;500;230;936;957
871;126;484;984;475;360
806;580;208;680;11;997
208;370;88;266;366;254
57;350;180;46;837;156
491;383;223;774;411;680
397;903;923;135;17;244
314;105;799;762;33;833
400;747;917;19;162;130
56;753;815;55;401;388
570;42;303;530;352;957
795;415;542;310;850;157
771;457;513;770;665;436
980;191;404;943;215;545
333;399;794;861;755;513
330;949;202;899;36;412
629;553;74;656;239;440
110;878;425;235;672;178
624;991;788;529;176;860
50;538;599;930;756;478
535;99;248;266;786;545
791;325;164;751;190;133
96;955;546;223;722;392
490;352;936;341;848;145
155;365;657;72;5;649
284;455;327;155;294;714
528;396;865;714;223;621
472;334;774;373;475;923
333;161;249;590;778;717
431;532;360;657;851;848
405;868;167;835;157;475
61;117;702;658;533;451
488;133;448;404;522;225
591;762;632;654;450;489
251;378;412;931;719;479
550;756;668;729;38;182
657;317;297;133;756;140
956;997;187;78;587;892
858;992;750;503;892;843
310;748;447;940;930;865
512;828;610;95;310;474
178;840;172;183;766;298
577;875;622;892;842;9
458;923;441;703;322;369
607;687;790;270;541;48
395;487;672;638;704;335
115;220;877;71;261;715
411;57;143;831;452;178
233;232;609;263;361;586
587;618;115;525;600;579
315;552;523;836;466;21
886;90;438;426;971;131
534;976;949;409;815;656
807;877;898;534;254;170
149;892;375;884;394;921
691;212;408;670;574;344
471;782;943;829;544;174
208;615;65;658;166;608
498;549;283;512;858;65
803;459;908;831;555;573
809;766;601;592;463;163
915;851;8;281;381;374
901;172;202;59;555;769
510;665;866;297;969;739
805;699;998;521;872;185
657;740;639;570;306;178
549;309;735;374;298;803
520;975;982;8;535;476
588;593;152;341;70;341
660;257;406;920;913;627
227;606;155;968;574;978
167;163;192;488;941;220
580;549;281;839;233;947
1;642;616;945;677;443
569;298;830;424;999;981
596;551;803;492;473;263
781;829;224;720;697;154
816;715;485;396;844;27
421;593;460;423;468;425
378;414;738;240;440;143
896;866;981;228;423;278
444;560;345;810;526;803
448;922;853;296;546;742
352;306;894;411;269;356
723;222;970;367;267;236
662;443;986;755;112;709
489;696;990;347;431;815
839;358;189;543;80;288
80;643;956;786;202;14
876;791;320;776;139;84
639;187;36;893;239;371
886;101;499;637;764;740
862;102;476;745;105;17
313;431;916;936;434;282
428;69;428;82;673;650
378;407;272;481;143;643
382;356;645;250;954;650
212;112;607;614;350;860
301;111;333;292;186;163
406;571;3;262;417;568
763;818;494;419;478;530
656;193;256;86;889;459
251;309;326;902;611;693
279;702;937;340;489;662
418;279;963;660;371;692
876;119;851;234;70;172
549;19;98;281;554;412
460;613;982;13;600;497
456;771;848;616;544;364
332;349;240;158;222;853
477;969;209;205;880;246
963;656;488;188;298;560
305;55;77;767;7;147
787;288;273;970;155;6
221;575;649;836;733;431
637;70;950;459;150;888
362;345;597;561;987;304
445;197;877;173;481;925
214;794;995;47;385;37
32;364;887;515;824;531
221;543;702;329;6;554
886;966;760;810;134;102
697;797;465;786;451;46
417;156;941;930;753;761
373;644;24;610;432;334
283;479;537;870;326;15
165;942;526;441;78;689
76;174;989;409;279;933
549;929;877;661;658;729
233;721;136;526;86;302
539;799;849;17;452;546
419;366;422;289;384;954
10;555;45;141;877;339
807;770;33;855;119;933
712;194;594;870;776;891
109;759;103;935;763;724
612;5;939;807;807;602
133;609;284;397;261;36
733;474;799;700;648;684
846;492;387;912;861;290
605;976;85;359;577;84
907;761;345;31;634;579
921;550;15;237;409;150
376;89;318;37;118;512
43;661;267;978;646;71
413;874;402;868;287;325
206;2;342;632;566;976
323;157;790;791;291;895
968;58;8;207;524;648
75;367;741;217;403;490
405;659;990;730;918;535
990;142;579;196;48;759
111;699;712;895;499;326
273;461;310;920;545;970
24;599;834;504;540;816
757;104;910;710;721;331
593;267;162;212;812;635
592;381;770;924;343;116
877;442;72;757;288;550
737;485;578;185;883;360
708;782;85;721;868;958
451;323;590;384;319;422
971;258;866;866;7;420
135;126;820;642;248;96
2;141;574;311;523;357
306;934;321;541;315;919
640;198;426;62;52;461
844;799;148;915;232;748
958;335;182;712;616;667
508;858;199;233;189;702
901;371;552;110;848;689
554;203;470;602;848;222
260;400;908;499;591;727
778;520;131;86;183;966
414;598;550;823;286;973
160;889;459;492;690;166
386;953;213;30;225;268
416;763;273;271;157;24
248;338;845;694;448;765
17;815;833;778;91;334
7;939;372;804;31;39
796;795;533;300;72;213
28;308;613;53;18;848
588;444;671;512;482;817
849;595;16;64;366;852
51;312;282;867;547;633
117;915;795;788;852;994
498;792;474;446;34;447
46;429;901;848;247;69
852;855;455;126;674;379
648;359;91;495;335;377
659;129;428;1;325;150
63;531;882;317;89;310
281;290;112;534;939;611
75;774;181;874;896;753
213;121;511;359;684;191
152;66;708;962;441;371
505;729;614;472;130;203
207;451;603;262;286;459
348;461;654;806;936;831
607;585;981;846;987;489
72;264;589;260;89;8
904;154;739;307;473;404
352;838;808;240;362;887
642;137;560;783;157;776
394;861;825;927;891;438
167;818;918;3;283;737
819;70;613;384;97;843
335;888;982;530;102;988
784;683;46;555;805;534
410;558;966;738;266;30
640;258;446;92;380;15
439;150;286;959;711;93
517;167;971;293;347;765
32;814;929;714;923;370
104;166;283;706;75;384
378;167;443;951;263;399
480;654;213;349;718;485
985;152;209;505;164;469
699;683;262;566;971;463
526;912;773;863;669;13
999;893;641;842;595;952
963;767;88;723;442;377
46;558;118;655;651;107
13;138;883;453;797;490
629;406;187;469;757;386
471;427;687;462;97;702
78;883;284;286;262;971
384;739;545;718;944;997
513;612;547;650;318;549
71;256;705;728;838;956
338;425;637;552;460;427
295;991;846;455;328;789
184;399;999;383;627;643
540;669;721;97;484;282
839;288;983;529;953;877
223;821;400;278;357;324
898;885;293;258;692;910
897;237;851;125;94;418
722;313;237;189;693;389
350;193;673;968;628;613
853;940;958;191;894;105
171;133;817;705;543;603
11;23;621;780;615;270
833;737;588;132;25;633
886;694;506;813;24;520
483;784;489;121;901;430
562;647;602;439;979;620
157;323;755;598;288;907
769;292;370;350;168;329
87;719;59;527;66;998
64;462;341;473;318;872
653;921;682;402;421;319
900;374;966;834;91;857
266;918;639;993;334;332
181;9;65;274;66;667
505;567;445;336;816;384
487;43;570;488;357;405
909;366;588;910;637;171
263;370;443;488;820;973
333;430;198;474;360;986
317;837;32;60;883;120
76;365;811;434;70;872
285;670;906;198;961;741
957;152;489;197;494;78
6;32;292;614;485;783
93;340;641;508;118;177
612;904;343;681;835;401
347;774;207;658;420;781
198;6;851;625;356;523
723;613;260;231;261;749
891;921;814;801;328;541
323;137;279;433;290;912
568;903;638;327;766;662
81;213;152;239;869;948
607;647;603;237;362;763
554;509;816;577;767;358
399;242;449;214;455;412
680;100;749;955;955;825
429;856;385;118;424;587
318;521;427;192;284;104
344;333;379;709;793;575
769;234;862;654;281;676
882;854;295;340;627;145
190;282;859;674;657;787
362;425;281;857;391;914
719;706;104;240;390;756
562;247;642;635;599;121
567;607;211;625;328;717
397;987;564;333;831;396
286;90;683;992;925;303
31;534;793;339;298;874
668;216;392;293;527;450
330;272;128;295;580;489
311;485;317;446;289;555
322;898;858;493;143;974
940;396;322;55;421;801
748;484;426;337;772;288
557;97;493;255;712;280
904;654;268;391;697;999
627;708;158;810;816;967
6;464;232;677;554;788
149;783;99;338;11;911
944;997;458;881;455;835
653;261;618;44;755;44
813;183;586;171;324;438
643;396;67;817;922;905
442;701;652;796;415;904
756;988;131;803;420;332
289;678;196;296;372;499
504;848;418;554;276;344
858;513;334;720;97;325
154;224;726;463;570;655
859;861;163;469;510;441
74;303;342;880;19;771
508;775;536;440;72;978
522;31;452;735;551;37
63;953;864;531;665;843
819;46;827;64;860;570
895;697;122;219;254;904
644;118;408;596;495;853
729;286;976;449;596;837
347;595;247;591;296;493
278;262;94;921;103;161
910;167;773;357;556;923
312;350;90;938;251;19
659;346;227;561;559;276
613;540;348;868;153;519
767;951;825;904;366;845
992;293;497;937;758;388
960;387;838;890;612;50
273;544;665;575;635;88
65;383;85;541;583;299
957;647;680;891;473;928
68;706;382;496;416;220
65;34;395;727;572;873
678;475;917;873;654;162
682;155;867;40;643;590
977;900;601;721;731;857
484;470;28;702;749;185
296;651;577;759;704;985
832;814;925;328;611;603
929;758;383;99;626;144
563;625;419;35;593;975
286;794;76;337;620;117
166;789;877;222;574;282
153;992;373;230;885;588
621;530;590;757;465;499
818;720;611;656;323;343
34;515;396;544;164;864
73;873;812;904;951;910
704;281;25;840;452;864
977;261;41;586;56;997
828;684;789;703;42;619
839;814;501;122;910;41
589;362;622;906;732;115
711;52;632;672;353;159
491;870;133;429;323;773
434;526;862;560;998;692
811;898;669;102;692;853
540;591;17;37;923;580
231;938;663;117;611;249
247;900;128;936;129;445
213;624;431;141;209;305
235;968;288;418;333;304
85;58;618;525;644;398
457;970;713;257;946;380
636;405;895;822;534;146
233;67;625;49;18;266
860;582;59;454;929;384
463;646;288;473;936;69
83;469;473;652;712;269
283;539;42;467;899;251
992;590;843;922;941;471
868;422;336;579;770;161
618;934;926;641;195;961
585;117;729;894;511;609
141;346;84;532;856;108
175;334;654;199;461;947
684;569;188;26;97;805
26;717;323;171;923;142
994;583;229;380;132;122
274;172;947;40;230;408
143;647;110;595;747;681
659;687;951;979;776;791
937;786;346;252;966;786
800;184;466;403;246;441
413;930;555;351;125;876
658;314;579;224;37;190
712;302;550;621;744;13
841;928;732;208;645;778
639;967;178;380;979;831
396;60;281;305;345;316
769;733;776;911;108;686
346;15;585;13;199;492
665;905;277;720;458;58
675;15;74;988;45;241
766;285;115;740;21;355
192;920;219;482;579;679
476;420;552;803;36;905
801;912;980;561;662;203
943;231;983;178;528;548
869;532;561;465;208;875
393;92;150;238;176;610
87;897;427;697;41;413
733;494;187;291;793;302
404;244;553;766;925;69
833;237;968;692;994;426
989;161;950;398;637;951
288;539;120;531;713;746
505;923;775;378;237;80
486;815;661;530;520;23
956;624;336;883;2;241
183;318;545;197;514;633
83;120;423;916;53;421
290;648;539;134;935;990
85;215;573;949;284;419
87;265;63;816;316;144
931;168;133;486;879;655
888;654;326;852;788;636
461;76;238;74;369;566
675;613;565;526;679;94
350;797;232;436;71;125
549;7;420;126;725;326
497;137;933;4;121;818
913;89;389;445;925;986
459;657;180;165;481;974
131;853;862;900;606;222
592;605;38;249;667;71
526;83;723;5;136;167
648;857;576;972;568;449
933;664;206;776;45;845
894;159;209;101;368;802
818;95;40;616;196;164
653;859;80;682;662;803
710;364;987;96;157;134
455;666;607;409;438;761
247;883;153;472;705;739
745;252;272;298;217;62
588;340;832;483;840;592
509;874;69;849;74;440
211;143;554;831;507;467
357;358;607;994;639;716
70;486;894;721;46;631
300;202;501;692;46;193
2;102;322;449;810;36
550;10;209;735;812;204
612;620;766;871;386;674
687;960;569;691;564;984
252;219;883;386;943;120
837;871;690;555;442;959
235;682;258;929;97;419
495;139;449;913;335;901
920;16;214;178;562;183
969;875;924;702;676;876
876;621;810;876;557;798
946;312;716;328;958;233
535;112;84;557;894;255
907;297;353;958;54;14
656;821;688;822;283;519
753;902;81;686;424;461
873;940;207;788;132;924
628;952;950;355;559;998
879;24;117;506;194;535
40;302;640;265;387;890
146;703;382;707;236;206
153;831;140;978;214;72
374;831;981;537;205;374
